code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
600751,20180105,930,62500,62600,62600,62300,62300,87700,548462,58,87700,548462,58
600751,20180105,931,62500,62300,62600,62300,62400,35000,218345,11,122700,766807,69
600751,20180105,932,62500,62400,62400,62300,62400,105400,657020,37,228100,1423827,106
600751,20180105,933,62500,62400,62400,62300,62300,33200,206974,17,261300,1630801,123
600751,20180105,934,62500,62300,62400,62300,62400,69700,434250,14,331000,2065051,137
600751,20180105,935,62500,62300,62400,62300,62300,74424,463841,18,405424,2528892,155
600751,20180105,936,62500,62300,62400,62300,62300,23600,147110,16,429024,2676002,171
600751,20180105,937,62500,62300,62300,62200,62300,33000,205538,26,462024,2881540,197
600751,20180105,938,62500,62300,62400,62200,62200,17900,111540,18,479924,2993080,215
600751,20180105,939,62500,62300,62300,62200,62300,17100,106423,23,497024,3099503,238
600751,20180105,940,62500,62300,62400,62300,62400,9100,56695,13,506124,3156198,251
600751,20180105,941,62500,62400,62400,62300,62400,12500,77973,14,518624,3234171,265
600751,20180105,942,62500,62400,62500,62400,62400,60500,377521,13,579124,3611692,278
600751,20180105,943,62500,62400,62400,62400,62400,1600,9984,4,580724,3621676,282
600751,20180105,944,62500,62400,62400,62400,62400,37700,235248,17,618424,3856924,299
600751,20180105,945,62500,62300,62400,62300,62300,7600,47349,8,626024,3904273,307
600751,20180105,946,62500,62300,62400,62300,62300,62500,389570,43,688524,4293843,350
600751,20180105,947,62500,62300,62300,62300,62300,16600,103418,17,705124,4397261,367
600751,20180105,948,62500,62300,62400,62300,62400,14100,87873,16,719224,4485134,383
600751,20180105,949,62500,62300,62400,62300,62400,14800,92281,18,734024,4577415,401
600751,20180105,950,62500,62400,62400,62300,62300,3900,24300,5,737924,4601715,406
600751,20180105,951,62500,62300,62300,62200,62300,57100,355708,28,795024,4957423,434
600751,20180105,952,62500,62200,62300,62200,62300,17400,108377,11,812424,5065800,445
600751,20180105,953,62500,62300,62300,62200,62300,112200,697999,17,924624,5763799,462
600751,20180105,954,62500,62300,62300,62200,62200,18700,116422,13,943324,5880221,475
600751,20180105,955,62500,62200,62200,62200,62200,105876,658548,41,1049200,6538769,516
