code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
601222,20180105,930,100800,100700,100700,99900,100000,417900,4199029,106,417900,4199029,106
601222,20180105,931,100800,100000,100000,99000,99300,217800,2163780,91,635700,6362809,197
601222,20180105,932,100800,99300,99300,98900,99000,206200,2043314,144,841900,8406123,341
601222,20180105,933,100800,99000,99500,99000,99500,168788,1673413,102,1010688,10079536,443
601222,20180105,934,100800,99500,100600,99500,99800,71500,714361,53,1082188,10793897,496
601222,20180105,935,100800,99800,99800,99600,99600,70300,700604,82,1152488,11494501,578
601222,20180105,936,100800,99600,100600,99500,99900,122400,1219610,57,1274888,12714111,635
601222,20180105,937,100800,100000,100600,100000,100500,29000,290890,35,1303888,13005001,670
601222,20180105,938,100800,100399,100500,100100,100100,48600,487739,28,1352488,13492740,698
601222,20180105,939,100800,100200,100200,99700,99700,77100,770514,26,1429588,14263254,724
601222,20180105,940,100800,99900,99900,99400,99400,78800,784899,45,1508388,15048153,769
601222,20180105,941,100800,99400,99500,99400,99500,71800,714146,53,1580188,15762299,822
601222,20180105,942,100800,99500,99600,99400,99600,24900,247744,34,1605088,16010043,856
601222,20180105,943,100800,99600,99600,99300,99400,137900,1371024,87,1742988,17381067,943
601222,20180105,944,100800,99400,99500,99300,99500,121000,1202133,75,1863988,18583200,1018
601222,20180105,945,100800,99400,99500,99200,99400,103400,1026619,66,1967388,19609819,1084
601222,20180105,946,100800,99400,99500,99200,99200,143000,1419426,116,2110388,21029245,1200
601222,20180105,947,100800,99300,99300,99100,99200,193200,1915765,109,2303588,22945010,1309
601222,20180105,948,100800,99300,99300,99200,99300,31400,311565,47,2334988,23256575,1356
601222,20180105,949,100800,99300,99300,99200,99300,76900,763266,61,2411888,24019841,1417
601222,20180105,950,100800,99400,99500,99300,99500,20900,207679,27,2432788,24227520,1444
601222,20180105,951,100800,99500,99500,99400,99400,60200,598757,33,2492988,24826277,1477
601222,20180105,952,100800,99400,99400,99200,99200,72900,723515,84,2565888,25549792,1561
601222,20180105,953,100800,99300,99300,99200,99200,73600,730079,64,2639488,26279871,1625
601222,20180105,954,100800,99100,99300,99100,99300,35700,354167,40,2675188,26634038,1665
601222,20180105,955,100800,99300,99400,99200,99200,35455,351967,41,2710643,26986005,1706
601222,20180105,956,100800,99300,99400,99200,99200,19800,196615,22,2730443,27182620,1728
601222,20180105,957,100800,99400,99400,99300,99300,13200,131011,14,2743643,27313631,1742
601222,20180105,958,100800,99300,99500,99300,99500,10600,105364,21,2754243,27418995,1763
601222,20180105,959,100800,99500,99500,99400,99400,29600,294125,20,2783843,27713120,1783
601222,20180105,1000,100800,99300,99400,99200,99200,30900,306827,28,2814743,28019947,1811
601222,20180105,1001,100800,99300,99300,99200,99300,52000,515987,50,2866743,28535934,1861
601222,20180105,1002,100800,99300,99300,99200,99200,94245,935040,63,2960988,29470974,1924
601222,20180105,1003,100800,99200,99200,99100,99100,118500,1174865,46,3079488,30645839,1970
601222,20180105,1004,100800,99200,99200,99000,99000,558300,5529350,238,3637788,36175189,2208
601222,20180105,1005,100800,99100,99100,98800,98800,221436,2190640,125,3859224,38365829,2333
601222,20180105,1006,100800,98900,99000,98800,99000,76100,752649,46,3935324,39118478,2379
601222,20180105,1007,100800,99000,99100,98900,99000,66245,655836,55,4001569,39774314,2434
601222,20180105,1008,100800,99100,99100,99000,99000,21900,216871,34,4023469,39991185,2468
601222,20180105,1009,100800,99000,99400,99000,99400,26655,264335,28,4050124,40255520,2496
601222,20180105,1010,100800,99400,99400,99000,99000,97400,964883,49,4147524,41220403,2545
601222,20180105,1011,100800,99000,99000,99000,99000,34400,340533,17,4181924,41560936,2562
601222,20180105,1012,100800,98900,99000,98900,99000,25500,252405,29,4207424,41813341,2591
601222,20180105,1013,100800,99200,99200,99000,99200,15900,157584,24,4223324,41970925,2615
601222,20180105,1014,100800,99000,99200,99000,99100,27600,273598,13,4250924,42244523,2628
601222,20180105,1015,100800,99200,99200,99000,99000,42800,423821,45,4293724,42668344,2673
