code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
300499,20180105,930,213400,211300,213000,211300,211500,2400,50836,6,2400,50836,6
300499,20180105,931,213400,211500,213000,211500,213000,7500,159719,7,9900,210555,13
300499,20180105,932,213400,213000,213000,213000,213000,0,0,0,9900,210555,13
300499,20180105,933,213400,213000,213000,212399,212399,300,6374,2,10200,216929,15
300499,20180105,934,213400,212399,212399,212399,212399,400,8496,1,10600,225425,16
300499,20180105,935,213400,212399,212399,212000,212000,2800,59380,6,13400,284805,22
300499,20180105,936,213400,212000,212399,211700,211700,3800,80515,8,17200,365320,30
300499,20180105,937,213400,211700,211800,211700,211800,4500,95308,8,21700,460628,38
300499,20180105,938,213400,211800,211800,211800,211800,3100,65658,3,24800,526286,41
300499,20180105,939,213400,211800,211800,211800,211800,0,0,0,24800,526286,41
300499,20180105,940,213400,211800,211800,211800,211800,0,0,0,24800,526286,41
300499,20180105,941,213400,212800,212800,212000,212000,4700,99688,6,29500,625974,47
300499,20180105,942,213400,212000,212000,211900,211900,1100,23319,2,30600,649293,49
300499,20180105,943,213400,211900,211900,211900,211900,0,0,0,30600,649293,49
300499,20180105,944,213400,211900,212000,211900,212000,1400,29680,2,32000,678973,51
300499,20180105,945,213400,212000,212000,212000,212000,0,0,0,32000,678973,51
300499,20180105,946,213400,212000,212000,212000,212000,0,0,0,32000,678973,51
300499,20180105,947,213400,212000,212000,212000,212000,0,0,0,32000,678973,51
300499,20180105,948,213400,212000,212200,212000,212200,1400,29708,3,33400,708681,54
300499,20180105,949,213400,212100,212100,212100,212100,4400,93324,7,37800,802005,61
300499,20180105,950,213400,212100,212100,212100,212100,0,0,0,37800,802005,61
300499,20180105,951,213400,212100,212100,212000,212000,2200,46640,3,40000,848645,64
300499,20180105,952,213400,212000,212000,212000,212000,200,4240,1,40200,852885,65
300499,20180105,953,213400,212000,212000,211900,211900,500,10595,1,40700,863480,66
300499,20180105,954,213400,211900,211900,211900,211900,1400,29666,4,42100,893146,70
300499,20180105,955,213400,211900,211900,211700,211700,2300,48707,5,44400,941853,75
300499,20180105,956,213400,211700,211700,211600,211700,2500,52916,4,46900,994769,79
300499,20180105,957,213400,211700,211700,211700,211700,0,0,0,46900,994769,79
300499,20180105,958,213400,211600,211700,211600,211700,1100,23285,4,48000,1018054,83
300499,20180105,959,213400,211700,211900,211700,211900,400,8476,1,48400,1026530,84
300499,20180105,1000,213400,212000,212000,212000,212000,100,2120,1,48500,1028650,85
300499,20180105,1001,213400,212000,212000,211800,211800,100,2118,1,48600,1030768,86
300499,20180105,1002,213400,211800,211800,211800,211800,0,0,0,48600,1030768,86
300499,20180105,1003,213400,211900,212100,211900,212100,600,12724,4,49200,1043492,90
300499,20180105,1004,213400,211900,212000,211900,212000,900,19075,2,50100,1062567,92
300499,20180105,1005,213400,212100,212100,212100,212100,800,16967,3,50900,1079534,95
300499,20180105,1006,213400,212100,212100,212100,212100,0,0,0,50900,1079534,95
300499,20180105,1007,213400,212100,212100,212100,212100,0,0,0,50900,1079534,95
300499,20180105,1008,213400,212100,212100,211800,211800,1000,21180,2,51900,1100714,97
300499,20180105,1009,213400,211800,211800,211600,211600,3500,74109,10,55400,1174823,107
300499,20180105,1010,213400,211600,211600,211200,211200,5600,118406,12,61000,1293229,119
300499,20180105,1011,213400,211200,211200,211200,211200,500,10560,2,61500,1303789,121
300499,20180105,1012,213400,211200,211200,211100,211100,3200,67567,7,64700,1371356,128
300499,20180105,1013,213400,210900,211200,210900,211200,1300,27422,4,66000,1398778,132
300499,20180105,1014,213400,211200,211200,210900,210900,1200,25343,4,67200,1424121,136
300499,20180105,1015,213400,210900,210900,210900,210900,0,0,0,67200,1424121,136
300499,20180105,1016,213400,210900,210900,210900,210900,0,0,0,67200,1424121,136
300499,20180105,1017,213400,210900,211100,210900,211100,1300,27446,2,68500,1451567,138
300499,20180105,1018,213400,211100,211100,211100,211100,0,0,0,68500,1451567,138
300499,20180105,1019,213400,211100,211100,211100,211100,0,0,0,68500,1451567,138
300499,20180105,1020,213400,211700,211700,211700,211700,1100,23287,1,69600,1474854,139
300499,20180105,1021,213400,211200,211700,211200,211700,3100,65477,4,72700,1540331,143
300499,20180105,1022,213400,211700,211700,211700,211700,0,0,0,72700,1540331,143
300499,20180105,1023,213400,211700,211700,211700,211700,0,0,0,72700,1540331,143
300499,20180105,1024,213400,211700,211700,211700,211700,0,0,0,72700,1540331,143
300499,20180105,1025,213400,211700,211700,211700,211700,0,0,0,72700,1540331,143
300499,20180105,1026,213400,211700,211700,211700,211700,0,0,0,72700,1540331,143
300499,20180105,1027,213400,211500,211500,211500,211500,200,4230,1,72900,1544561,144
300499,20180105,1028,213400,211500,211500,211300,211300,1100,23243,1,74000,1567804,145
300499,20180105,1029,213400,211300,211300,211100,211200,500,10558,2,74500,1578362,147
300499,20180105,1030,213400,211200,211200,211100,211100,3000,63357,4,77500,1641719,151
300499,20180105,1031,213400,211100,211100,211000,211100,1700,35871,3,79200,1677590,154
300499,20180105,1032,213400,211000,211300,211000,211300,4900,103462,7,84100,1781052,161
300499,20180105,1033,213400,211300,211300,211300,211300,0,0,0,84100,1781052,161
300499,20180105,1034,213400,211300,212000,211300,212000,200,4240,1,84300,1785292,162
300499,20180105,1035,213400,212000,212000,212000,212000,0,0,0,84300,1785292,162
300499,20180105,1036,213400,212000,212000,212000,212000,0,0,0,84300,1785292,162
300499,20180105,1037,213400,212000,212000,212000,212000,0,0,0,84300,1785292,162
300499,20180105,1038,213400,212000,212000,211800,211800,400,8472,2,84700,1793764,164
300499,20180105,1039,213400,211800,211800,211800,211800,700,14826,1,85400,1808590,165
300499,20180105,1040,213400,211800,211800,211600,211600,800,16940,3,86200,1825530,168
300499,20180105,1041,213400,211600,211600,211500,211500,1200,25382,2,87400,1850912,170
300499,20180105,1042,213400,211500,211500,211500,211500,0,0,0,87400,1850912,170
300499,20180105,1043,213400,211500,211500,211500,211500,0,0,0,87400,1850912,170
300499,20180105,1044,213400,211500,211500,211500,211500,400,8460,1,87800,1859372,171
300499,20180105,1045,213400,211700,211700,211700,211700,100,2117,1,87900,1861489,172
300499,20180105,1046,213400,211700,211700,211700,211700,0,0,0,87900,1861489,172
300499,20180105,1047,213400,211700,211700,211700,211700,1900,40213,3,89800,1901702,175
300499,20180105,1048,213400,211700,211700,211700,211700,0,0,0,89800,1901702,175
300499,20180105,1049,213400,211700,211700,211700,211700,400,8468,1,90200,1910170,176
300499,20180105,1050,213400,211700,211700,211700,211700,0,0,0,90200,1910170,176
300499,20180105,1051,213400,211700,211700,211700,211700,0,0,0,90200,1910170,176
300499,20180105,1052,213400,211700,211700,211600,211600,500,10580,1,90700,1920750,177
300499,20180105,1053,213400,211600,211600,211600,211600,0,0,0,90700,1920750,177
300499,20180105,1054,213400,211600,211600,211600,211600,0,0,0,90700,1920750,177
300499,20180105,1055,213400,211600,211600,211600,211600,0,0,0,90700,1920750,177
300499,20180105,1056,213400,211600,211800,211600,211800,1000,21180,1,91700,1941930,178
300499,20180105,1057,213400,211800,211900,211800,211900,9000,190623,7,100700,2132553,185
300499,20180105,1058,213400,211900,212000,211900,212000,2100,44507,4,102800,2177060,189
300499,20180105,1059,213400,212000,212000,212000,212000,300,6360,2,103100,2183420,191
300499,20180105,1100,213400,212000,212000,212000,212000,0,0,0,103100,2183420,191
300499,20180105,1101,213400,212000,212000,212000,212000,0,0,0,103100,2183420,191
300499,20180105,1102,213400,212000,212000,211900,211900,1500,31785,1,104600,2215205,192
300499,20180105,1103,213400,211900,211900,211900,211900,100,2119,1,104700,2217324,193
300499,20180105,1104,213400,211900,211900,211900,211900,0,0,0,104700,2217324,193
300499,20180105,1105,213400,211800,211800,211800,211800,1000,21180,2,105700,2238504,195
300499,20180105,1106,213400,211800,211800,211800,211800,0,0,0,105700,2238504,195
300499,20180105,1107,213400,211800,211800,211800,211800,500,10590,2,106200,2249094,197
300499,20180105,1108,213400,211800,211800,211800,211800,700,14826,3,106900,2263920,200
300499,20180105,1109,213400,211800,211800,211800,211800,200,4236,1,107100,2268156,201
300499,20180105,1110,213400,211800,211800,211800,211800,0,0,0,107100,2268156,201
300499,20180105,1111,213400,211600,211600,211600,211600,800,16928,1,107900,2285084,202
300499,20180105,1112,213400,211600,211900,211600,211900,1900,40261,1,109800,2325345,203
300499,20180105,1113,213400,212000,212000,212000,212000,200,4240,1,110000,2329585,204
300499,20180105,1114,213400,212000,212200,212000,212200,200,4244,1,110200,2333829,205
300499,20180105,1115,213400,212200,212200,212200,212200,0,0,0,110200,2333829,205
300499,20180105,1116,213400,212200,212200,212200,212200,0,0,0,110200,2333829,205
300499,20180105,1117,213400,212200,212300,212200,212300,1000,21230,1,111200,2355059,206
300499,20180105,1118,213400,212300,212300,212300,212300,600,12738,1,111800,2367797,207
300499,20180105,1119,213400,212300,212300,212300,212300,400,8492,1,112200,2376289,208
300499,20180105,1120,213400,212300,212300,212300,212300,0,0,0,112200,2376289,208
300499,20180105,1121,213400,212300,212300,212300,212300,0,0,0,112200,2376289,208
300499,20180105,1122,213400,212300,213000,212300,213000,1000,21292,3,113200,2397581,211
300499,20180105,1123,213400,213000,214000,213000,214000,2600,55539,8,115800,2453120,219
