code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
603588,20180105,930,131500,130200,131200,130200,130700,55900,729595,55,55900,729595,55
603588,20180105,931,131500,130700,131100,130700,130700,18600,243634,22,74500,973229,77
603588,20180105,932,131500,130700,130900,130500,130600,57100,746131,44,131600,1719360,121
603588,20180105,933,131500,130500,130600,130500,130500,34200,446338,21,165800,2165698,142
603588,20180105,934,131500,130600,130600,130500,130500,26900,351152,34,192700,2516850,176
603588,20180105,935,131500,130500,130600,130300,130300,82200,1071955,55,274900,3588805,231
603588,20180105,936,131500,130300,130399,129900,129900,100300,1305402,79,375200,4894207,310
603588,20180105,937,131500,130000,130000,129800,129800,91600,1189688,86,466800,6083895,396
603588,20180105,938,131500,129900,130100,129800,129800,34800,451992,47,501600,6535887,443
603588,20180105,939,131500,130000,130100,129800,130100,20500,266516,34,522100,6802403,477
603588,20180105,940,131500,130100,130399,130100,130200,21300,277522,28,543400,7079925,505
603588,20180105,941,131500,130200,130200,130100,130200,34700,451784,26,578100,7531709,531
603588,20180105,942,131500,130200,130399,130200,130399,17500,228047,21,595600,7759756,552
603588,20180105,943,131500,130300,130500,130200,130300,60600,789985,35,656200,8549741,587
603588,20180105,944,131500,130500,130500,130100,130100,97100,1263906,38,753300,9813647,625
603588,20180105,945,131500,130100,130200,130100,130200,6800,88532,9,760100,9902179,634
603588,20180105,946,131500,130200,130300,130100,130100,55400,720912,56,815500,10623091,690
603588,20180105,947,131500,130100,130300,130100,130200,14100,183584,22,829600,10806675,712
603588,20180105,948,131500,130200,130300,130200,130300,14400,187491,13,844000,10994166,725
603588,20180105,949,131500,130300,130399,130200,130300,19100,248791,31,863100,11242957,756
603588,20180105,950,131500,130399,130500,130300,130300,10100,131686,17,873200,11374643,773
603588,20180105,951,131500,130300,130500,130300,130500,11800,153955,18,885000,11528598,791
603588,20180105,952,131500,130500,130600,130500,130600,21100,275486,22,906100,11804084,813
603588,20180105,953,131500,130600,130600,130500,130600,5800,75734,9,911900,11879818,822
603588,20180105,954,131500,130500,130500,130200,130300,36200,471652,31,948100,12351470,853
603588,20180105,955,131500,130300,130300,130200,130200,28600,372606,19,976700,12724076,872
603588,20180105,956,131500,130200,130300,130200,130200,28500,371127,16,1005200,13095203,888
603588,20180105,957,131500,130300,130399,130200,130200,21400,278901,19,1026600,13374104,907
603588,20180105,958,131500,130200,130399,130200,130399,10400,135514,7,1037000,13509618,914
603588,20180105,959,131500,130399,130399,130300,130399,33100,431532,22,1070100,13941150,936
603588,20180105,1000,131500,130300,130399,130300,130300,13500,176003,19,1083600,14117153,955
603588,20180105,1001,131500,130399,130600,130300,130600,14208,185313,25,1097808,14302466,980
603588,20180105,1002,131500,130600,130600,130500,130600,9200,120124,17,1107008,14422590,997
603588,20180105,1003,131500,130600,130600,130500,130500,26000,339470,23,1133008,14762060,1020
