code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
002727,20180105,930,204500,204100,204100,204100,204100,7800,158772,10,7800,158772,10
002727,20180105,931,204500,203000,203700,203000,203700,3500,71215,6,11300,229987,16
002727,20180105,932,204500,203700,203900,203700,203900,2800,57088,10,14100,287075,26
002727,20180105,933,204500,203900,203900,203700,203700,5200,105912,8,19300,392987,34
002727,20180105,934,204500,203700,203700,203100,203299,4800,97521,7,24100,490508,41
002727,20180105,935,204500,203299,203299,202800,202800,18900,383713,23,43000,874221,64
002727,20180105,936,204500,202800,203000,202800,203000,5400,109614,12,48400,983835,76
002727,20180105,937,204500,203000,203299,203000,203299,9500,192865,3,57900,1176700,79
002727,20180105,938,204500,203299,203299,203299,203299,6400,130112,6,64300,1306812,85
002727,20180105,939,204500,203299,203299,202900,202900,23400,474974,14,87700,1781786,99
002727,20180105,940,204500,202900,203000,202900,202900,14000,284174,10,101700,2065960,109
002727,20180105,941,204500,202900,203000,202900,202900,5900,119717,10,107600,2185677,119
002727,20180105,942,204500,202900,203000,202900,202900,6000,121750,7,113600,2307427,126
002727,20180105,943,204500,202900,203000,202900,203000,18400,373455,11,132000,2680882,137
002727,20180105,944,204500,203000,203000,202900,202900,6400,129863,8,138400,2810745,145
002727,20180105,945,204500,202900,203000,202800,203000,58500,1187438,16,196900,3998183,161
002727,20180105,946,204500,203100,203100,203100,203100,11600,235596,13,208500,4233779,174
002727,20180105,947,204500,203200,203299,203100,203100,12100,245811,10,220600,4479590,184
002727,20180105,948,204500,203100,203600,203100,203299,10900,221553,9,231500,4701143,193
002727,20180105,949,204500,203299,203600,203299,203500,7200,146484,5,238700,4847627,198
002727,20180105,950,204500,203500,203500,203299,203299,12700,258348,13,251400,5105975,211
002727,20180105,951,204500,203299,203500,203299,203400,6400,130137,6,257800,5236112,217
002727,20180105,952,204500,203299,203500,203100,203100,19800,402386,23,277600,5638498,240
002727,20180105,953,204500,203100,203100,203100,203100,4700,95462,5,282300,5733960,245
002727,20180105,954,204500,203100,203100,203100,203100,4800,97488,6,287100,5831448,251
002727,20180105,955,204500,203000,203100,202900,202900,8100,164426,12,295200,5995874,263
002727,20180105,956,204500,203299,203299,202800,202900,12500,253617,14,307700,6249491,277
002727,20180105,957,204500,202900,203200,202800,202800,5600,113622,7,313300,6363113,284
002727,20180105,958,204500,202800,202900,202700,202700,8900,180476,16,322200,6543589,300
002727,20180105,959,204500,202700,202700,202500,202500,9500,192472,16,331700,6736061,316
002727,20180105,1000,204500,202500,202500,202399,202399,9000,182160,11,340700,6918221,327
002727,20180105,1001,204500,202300,202300,202100,202300,12900,260765,20,353600,7178986,347
002727,20180105,1002,204500,202300,202300,202100,202300,22000,444865,22,375600,7623851,369
002727,20180105,1003,204500,202300,202300,202100,202100,33800,683171,31,409400,8307022,400
002727,20180105,1004,204500,202100,202200,202000,202200,24000,484907,19,433400,8791929,419
002727,20180105,1005,204500,202200,202200,202100,202100,7500,151589,10,440900,8943518,429
002727,20180105,1006,204500,202100,202300,202000,202100,8600,173809,11,449500,9117327,440
002727,20180105,1007,204500,202100,202100,202000,202000,11000,222233,6,460500,9339560,446
002727,20180105,1008,204500,202000,202500,202000,202500,14400,291166,13,474900,9630726,459
002727,20180105,1009,204500,202500,202700,202500,202600,7800,157826,11,482700,9788552,470
002727,20180105,1010,204500,202200,202200,202100,202100,40200,812470,10,522900,10601022,480
002727,20180105,1011,204500,202000,202100,202000,202100,18100,365749,7,541000,10966771,487
002727,20180105,1012,204500,202100,202500,202000,202100,8600,173865,10,549600,11140636,497
002727,20180105,1013,204500,202100,202100,202100,202100,6800,137430,5,556400,11278066,502
002727,20180105,1014,204500,202100,202399,202100,202399,7800,157710,6,564200,11435776,508
002727,20180105,1015,204500,202399,202399,202100,202100,10300,208173,11,574500,11643949,519
002727,20180105,1016,204500,202100,202300,202100,202100,7100,143513,5,581600,11787462,524
002727,20180105,1017,204500,202100,202200,202100,202100,9800,198062,8,591400,11985524,532
002727,20180105,1018,204500,202100,202200,202100,202200,7400,149602,6,598800,12135126,538
002727,20180105,1019,204500,202200,202200,202100,202200,6700,135449,12,605500,12270575,550
002727,20180105,1020,204500,202100,202300,202100,202300,5200,105098,7,610700,12375673,557
002727,20180105,1021,204500,202300,202300,202200,202200,6700,135474,7,617400,12511147,564
002727,20180105,1022,204500,202300,202300,202100,202100,10400,210291,8,627800,12721438,572
002727,20180105,1023,204500,202100,202200,202100,202100,9900,200089,13,637700,12921527,585
002727,20180105,1024,204500,202100,202300,202100,202300,14600,295202,11,652300,13216729,596
002727,20180105,1025,204500,202300,202399,202200,202399,8700,175969,11,661000,13392698,607
002727,20180105,1026,204500,202399,202399,202000,202200,35200,711370,25,696200,14104068,632
002727,20180105,1027,204500,202200,202200,202000,202200,41600,840461,15,737800,14944529,647
002727,20180105,1028,204500,202200,202200,202000,202000,36700,741393,11,774500,15685922,658
002727,20180105,1029,204500,202200,202200,202000,202000,7000,141429,8,781500,15827351,666
002727,20180105,1030,204500,202200,202200,202100,202200,8600,173837,13,790100,16001188,679
002727,20180105,1031,204500,202200,202200,202000,202100,15200,307143,15,805300,16308331,694
002727,20180105,1032,204500,202000,202100,202000,202000,23500,474760,24,828800,16783091,718
002727,20180105,1033,204500,202100,202100,202000,202100,8400,169701,16,837200,16952792,734
