code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
601999,20180105,930,75700,75500,75600,75500,75500,12000,90621,15,12000,90621,15
601999,20180105,931,75700,75500,75700,75500,75700,10900,82401,10,22900,173022,25
601999,20180105,932,75700,75700,75700,75500,75600,22800,172167,10,45700,345189,35
601999,20180105,933,75700,75600,75700,75600,75600,8900,67238,8,54600,412427,43
601999,20180105,934,75700,75600,75700,75600,75700,2300,17403,6,56900,429830,49
601999,20180105,935,75700,75700,75700,75600,75600,3800,28732,6,60700,458562,55
601999,20180105,936,75700,75600,75700,75600,75700,15500,117315,12,76200,575877,67
601999,20180105,937,75700,75700,75800,75700,75700,10600,80274,10,86800,656151,77
601999,20180105,938,75700,75700,75800,75600,75800,13800,104541,9,100600,760692,86
601999,20180105,939,75700,75800,75800,75700,75800,5600,42437,10,106200,803129,96
601999,20180105,940,75700,75800,75800,75700,75700,2800,21200,5,109000,824329,101
601999,20180105,941,75700,75700,75900,75600,75800,41300,313215,20,150300,1137544,121
601999,20180105,942,75700,75800,75800,75800,75800,12900,97782,10,163200,1235326,131
601999,20180105,943,75700,75900,75900,75800,75800,15100,114547,12,178300,1349873,143
601999,20180105,944,75700,75800,75900,75800,75900,9300,70550,11,187600,1420423,154
601999,20180105,945,75700,75900,76000,75900,76000,60200,457203,15,247800,1877626,169
601999,20180105,946,75700,76000,76300,76000,76000,35200,267699,17,283000,2145325,186
601999,20180105,947,75700,76200,76300,76200,76200,30300,231007,20,313300,2376332,206
601999,20180105,948,75700,76200,76200,76100,76100,10200,77699,12,323500,2454031,218
601999,20180105,949,75700,76200,76200,76000,76000,28500,216887,20,352000,2670918,238
601999,20180105,950,75700,76000,76100,76000,76100,29800,226777,14,381800,2897695,252
601999,20180105,951,75700,76100,76100,76000,76100,15500,117929,11,397300,3015624,263
601999,20180105,952,75700,76100,76200,76100,76100,12300,93649,12,409600,3109273,275
601999,20180105,953,75700,76100,76100,76100,76100,5200,39572,4,414800,3148845,279
601999,20180105,954,75700,76100,76100,76100,76100,12200,92842,4,427000,3241687,283
601999,20180105,955,75700,76100,76100,76100,76100,8200,62402,10,435200,3304089,293
601999,20180105,956,75700,76100,76200,76100,76100,16900,128621,9,452100,3432710,302
601999,20180105,957,75700,76100,76200,76100,76100,31100,236675,9,483200,3669385,311
601999,20180105,958,75700,76100,76200,76100,76100,28200,214874,18,511400,3884259,329
