code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
300471,20180105,930,128300,128000,128000,127300,127500,40400,515553,44,40400,515553,44
300471,20180105,931,128300,127400,127500,127300,127300,12100,154202,13,52500,669755,57
300471,20180105,932,128300,127899,127899,127400,127400,9800,125055,7,62300,794810,64
300471,20180105,933,128300,127400,127400,127300,127400,17900,227969,20,80200,1022779,84
300471,20180105,934,128300,127400,127500,127400,127500,30100,383475,21,110300,1406254,105
300471,20180105,935,128300,127500,127500,127400,127400,20700,263809,12,131000,1670063,117
300471,20180105,936,128300,127400,127600,127300,127600,16700,212714,35,147700,1882777,152
300471,20180105,937,128300,127300,127600,127300,127400,27600,351708,32,175300,2234485,184
300471,20180105,938,128300,127500,127500,127300,127500,12100,154200,16,187400,2388685,200
300471,20180105,939,128300,127500,127500,127400,127500,5600,71387,8,193000,2460072,208
300471,20180105,940,128300,127500,127700,127500,127600,9900,126334,15,202900,2586406,223
300471,20180105,941,128300,127600,127600,127600,127600,4600,58696,8,207500,2645102,231
300471,20180105,942,128300,127600,127700,127600,127600,18000,229692,11,225500,2874794,242
300471,20180105,943,128300,127600,127600,127500,127500,30100,383825,9,255600,3258619,251
300471,20180105,944,128300,127400,127400,127200,127200,44700,569049,39,300300,3827668,290
300471,20180105,945,128300,127200,127400,127200,127400,3800,48356,6,304100,3876024,296
300471,20180105,946,128300,127400,127400,127000,127000,54400,692265,28,358500,4568289,324
300471,20180105,947,128300,127000,127100,126800,127100,49700,631220,23,408200,5199509,347
300471,20180105,948,128300,127100,127100,127000,127000,10500,133415,14,418700,5332924,361
300471,20180105,949,128300,126900,127000,126700,126800,57750,732392,40,476450,6065316,401
300471,20180105,950,128300,126800,127000,126800,126900,3700,46941,10,480150,6112257,411
300471,20180105,951,128300,126900,126900,126900,126900,6800,86292,16,486950,6198549,427
300471,20180105,952,128300,126900,127000,126800,126800,47900,607681,27,534850,6806230,454
300471,20180105,953,128300,126800,126900,126600,126600,16900,214201,19,551750,7020431,473
300471,20180105,954,128300,126600,126700,126600,126700,5500,69691,9,557250,7090122,482
300471,20180105,955,128300,126700,126800,126600,126600,25200,319212,30,582450,7409334,512
300471,20180105,956,128300,126600,126800,126600,126700,1800,22809,2,584250,7432143,514
300471,20180105,957,128300,126700,126800,126700,126700,27300,345941,20,611550,7778084,534
300471,20180105,958,128300,126700,126800,126600,126600,17000,215298,18,628550,7993382,552
