code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
002632,20180105,930,81300,81100,81500,81100,81500,5900,48049,3,5900,48049,3
002632,20180105,931,81300,81500,81500,81500,81500,0,0,0,5900,48049,3
002632,20180105,932,81300,81500,81500,81500,81500,4100,33415,7,10000,81464,10
002632,20180105,933,81300,81500,81500,81400,81400,4100,33385,3,14100,114849,13
002632,20180105,934,81300,81400,81400,81300,81400,19500,158422,23,33600,273271,36
002632,20180105,935,81300,81199,81300,81199,81199,13100,106392,15,46700,379663,51
002632,20180105,936,81300,81199,81300,81199,81300,9900,80418,13,56600,460081,64
002632,20180105,937,81300,81300,81300,81300,81300,4500,36585,4,61100,496666,68
002632,20180105,938,81300,81300,81300,81199,81199,11200,90969,14,72300,587635,82
002632,20180105,939,81300,81199,81300,81199,81199,8300,67446,6,80600,655081,88
002632,20180105,940,81300,81199,81300,81199,81300,21000,170545,15,101600,825626,103
002632,20180105,941,81300,81300,81300,81100,81100,30200,245117,15,131800,1070743,118
002632,20180105,942,81300,81100,81100,80800,81100,49400,399985,39,181200,1470728,157
002632,20180105,943,81300,81100,81199,81000,81000,14200,115150,8,195400,1585878,165
002632,20180105,944,81300,81000,81000,80900,80900,9900,80154,12,205300,1666032,177
002632,20180105,945,81300,80900,81000,80800,80900,44500,359882,26,249800,2025914,203
002632,20180105,946,81300,80900,81000,80900,81000,6600,53460,12,256400,2079374,215
002632,20180105,947,81300,81000,81199,81000,81000,29400,238278,30,285800,2317652,245
002632,20180105,948,81300,81000,81199,81000,81100,2700,21917,5,288500,2339569,250
002632,20180105,949,81300,81100,81100,81000,81000,2800,22681,4,291300,2362250,254
002632,20180105,950,81300,81000,81100,81000,81100,3500,28373,3,294800,2390623,257
002632,20180105,951,81300,81100,81100,81000,81000,5400,43760,4,300200,2434383,261
002632,20180105,952,81300,81000,81100,81000,81100,18000,145925,6,318200,2580308,267
002632,20180105,953,81300,81100,81100,81000,81000,1300,10532,3,319500,2590840,270
002632,20180105,954,81300,81000,81000,81000,81000,2200,17820,2,321700,2608660,272
002632,20180105,955,81300,81000,81100,81000,81000,5000,40524,5,326700,2649184,277
002632,20180105,956,81300,81000,81100,81000,81100,9600,77833,11,336300,2727017,288
002632,20180105,957,81300,81100,81100,81000,81100,15900,128946,10,352200,2855963,298
002632,20180105,958,81300,81100,81100,81000,81000,5400,43760,6,357600,2899723,304
002632,20180105,959,81300,81000,81199,81000,81100,2700,21905,5,360300,2921628,309
002632,20180105,1000,81300,81100,81100,81000,81000,700,5670,1,361000,2927298,310
002632,20180105,1001,81300,81000,81100,81000,81100,2300,18640,3,363300,2945938,313
