code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
000993,20180105,930,81500,81300,81400,81300,81400,75800,616329,33,75800,616329,33
000993,20180105,931,81500,81300,81300,81300,81300,25000,203250,20,100800,819579,53
000993,20180105,932,81500,81300,81300,80900,81100,52000,421278,24,152800,1240857,77
000993,20180105,933,81500,81100,81100,80900,81100,15500,125562,19,168300,1366419,96
000993,20180105,934,81500,81100,81199,81100,81100,20600,167116,15,188900,1533535,111
000993,20180105,935,81500,81100,81300,81000,81000,17000,137808,16,205900,1671343,127
000993,20180105,936,81500,81000,81100,81000,81100,22000,178251,26,227900,1849594,153
000993,20180105,937,81500,81100,81100,81000,81100,12600,102167,16,240500,1951761,169
000993,20180105,938,81500,81000,81500,81000,81500,42300,343828,20,282800,2295589,189
000993,20180105,939,81500,81199,81199,81100,81100,4500,36529,9,287300,2332118,198
000993,20180105,940,81500,81199,81199,81199,81199,8500,69020,7,295800,2401138,205
000993,20180105,941,81500,81199,81300,81100,81100,21700,176235,17,317500,2577373,222
000993,20180105,942,81500,81100,81199,81100,81100,15000,121651,14,332500,2699024,236
000993,20180105,943,81500,81100,81100,80800,80800,82700,669552,53,415200,3368576,289
000993,20180105,944,81500,80800,80900,80600,80600,140000,1130349,51,555200,4498925,340
000993,20180105,945,81500,80600,80900,80600,80800,10600,85724,12,565800,4584649,352
000993,20180105,946,81500,80800,80900,80800,80900,12200,98647,17,578000,4683296,369
000993,20180105,947,81500,80900,80900,80800,80900,34600,279683,13,612600,4962979,382
000993,20180105,948,81500,80900,80900,80700,80700,73700,595408,37,686300,5558387,419
000993,20180105,949,81500,80800,80800,80700,80700,18400,148520,20,704700,5706907,439
000993,20180105,950,81500,80700,80800,80600,80800,29100,234777,23,733800,5941684,462
000993,20180105,951,81500,80800,80800,80600,80800,13400,108174,21,747200,6049858,483
000993,20180105,952,81500,80800,80800,80800,80800,23900,193112,9,771100,6242970,492
000993,20180105,953,81500,80800,80800,80700,80700,37700,304359,22,808800,6547329,514
000993,20180105,954,81500,80700,80800,80700,80800,12300,99267,14,821100,6646596,528
000993,20180105,955,81500,80800,80800,80600,80700,38700,312106,28,859800,6958702,556
000993,20180105,956,81500,80700,80700,80700,80700,4900,39543,3,864700,6998245,559
000993,20180105,957,81500,80700,80700,80700,80700,1500,12105,2,866200,7010350,561
000993,20180105,958,81500,80700,80800,80700,80800,4000,32320,8,870200,7042670,569
000993,20180105,959,81500,80800,80800,80700,80700,8700,70291,11,878900,7112961,580
000993,20180105,1000,81500,80800,80800,80800,80800,1000,8080,2,879900,7121041,582
000993,20180105,1001,81500,80800,80800,80800,80800,3200,25856,4,883100,7146897,586
000993,20180105,1002,81500,80900,80900,80800,80900,14700,118900,12,897800,7265797,598
000993,20180105,1003,81500,80800,80800,80700,80800,20800,168001,13,918600,7433798,611
000993,20180105,1004,81500,80800,80800,80700,80700,26800,216433,6,945400,7650231,617
000993,20180105,1005,81500,80800,80800,80700,80700,9100,73456,13,954500,7723687,630
000993,20180105,1006,81500,80700,80800,80700,80800,2500,20200,4,957000,7743887,634
000993,20180105,1007,81500,80800,80800,80600,80700,121200,977770,56,1078200,8721657,690
000993,20180105,1008,81500,80700,80700,80700,80700,16100,129927,4,1094300,8851584,694
000993,20180105,1009,81500,80700,80700,80600,80700,5300,42744,4,1099600,8894328,698
000993,20180105,1010,81500,80600,80700,80600,80600,23900,192646,30,1123500,9086974,728
000993,20180105,1011,81500,80500,80600,80500,80500,73100,588468,31,1196600,9675442,759
000993,20180105,1012,81500,80500,80500,80500,80500,23000,185150,22,1219600,9860592,781
000993,20180105,1013,81500,80500,80600,80500,80500,32600,262481,13,1252200,10123073,794
000993,20180105,1014,81500,80500,80600,80399,80500,43500,350149,15,1295700,10473222,809
000993,20180105,1015,81500,80500,80600,80500,80600,700,5642,2,1296400,10478864,811
000993,20180105,1016,81500,80600,80600,80500,80600,9100,73291,11,1305500,10552155,822
000993,20180105,1017,81500,80600,80600,80600,80600,10100,81406,7,1315600,10633561,829
000993,20180105,1018,81500,80600,80600,80500,80500,25100,202155,30,1340700,10835716,859
000993,20180105,1019,81500,80500,80600,80399,80600,27500,221275,18,1368200,11056991,877
000993,20180105,1020,81500,80600,80600,80500,80500,32900,264960,15,1401100,11321951,892
000993,20180105,1021,81500,80500,80600,80500,80500,9900,79715,5,1411000,11401666,897
000993,20180105,1022,81500,80500,80600,80500,80600,3700,29819,3,1414700,11431485,900
000993,20180105,1023,81500,80600,80600,80500,80500,3800,30590,3,1418500,11462075,903
000993,20180105,1024,81500,80500,80600,80500,80500,5019,40403,11,1423519,11502478,914
000993,20180105,1025,81500,80500,80600,80500,80600,13400,107944,4,1436919,11610422,918
000993,20180105,1026,81500,80600,80700,80600,80700,39300,316769,11,1476219,11927191,929
000993,20180105,1027,81500,80700,80700,80600,80700,17900,144352,27,1494119,12071543,956
000993,20180105,1028,81500,80700,80700,80600,80600,2000,16120,3,1496119,12087663,959
000993,20180105,1029,81500,80600,80800,80600,80800,4900,39587,5,1501019,12127250,964
000993,20180105,1030,81500,80700,80700,80700,80700,4000,32280,8,1505019,12159530,972
000993,20180105,1031,81500,80700,80700,80700,80700,0,0,0,1505019,12159530,972
000993,20180105,1032,81500,80800,80800,80800,80800,16100,130088,12,1521119,12289618,984
000993,20180105,1033,81500,80900,81000,80900,81000,12500,101230,13,1533619,12390848,997
000993,20180105,1034,81500,81000,81100,80800,80800,40100,324670,22,1573719,12715518,1019
000993,20180105,1035,81500,80800,80800,80700,80700,9900,79894,5,1583619,12795412,1024
000993,20180105,1036,81500,80700,80700,80700,80700,100,807,1,1583719,12796219,1025
000993,20180105,1037,81500,80700,80800,80700,80700,2400,19373,3,1586119,12815592,1028
000993,20180105,1038,81500,80700,80700,80700,80700,1600,12912,3,1587719,12828504,1031
000993,20180105,1039,81500,80800,80800,80800,80800,2600,21008,4,1590319,12849512,1035
000993,20180105,1040,81500,80800,80800,80700,80700,1200,9684,1,1591519,12859196,1036
000993,20180105,1041,81500,80700,80800,80700,80800,100,808,1,1591619,12860004,1037
000993,20180105,1042,81500,80800,80800,80700,80700,7100,57302,21,1598719,12917306,1058
000993,20180105,1043,81500,80700,80800,80700,80800,1200,9696,2,1599919,12927002,1060
000993,20180105,1044,81500,80800,80800,80700,80700,10000,80700,34,1609919,13007702,1094
000993,20180105,1045,81500,80700,80800,80700,80800,9435,76180,15,1619354,13083882,1109
