code,cum_adjf
2508,100000
2509,100000
2510,100000
2511,100000
2512,100000
2513,100000
2514,100000
2515,100000
2516,100000
2517,100000
2518,100000
2519,100000
2520,100000
2521,100000
2522,100000
2523,100000
2524,100000
2526,100000
2527,100000
2528,100000
2529,100000
2530,100000
2531,100000
2532,100000
2533,100000
2534,100000
2535,100000
2536,100000
2537,100000
2538,100000
2539,100000
2540,100000
2541,100000
2542,100000
2543,100000
2544,100000
2545,100000
2546,100000
2547,100000
2548,100000
2549,100000
2550,100000
2551,100000
2552,100000
2553,100000
2554,100000
2555,100000
2556,100000
2557,100000
2558,100000
2559,100000
2560,100000
2561,100000
2562,100000
2563,100000
2564,100000
2565,100000
2566,100000
2567,100000
2568,100000
2569,100000
2570,100000
2571,100000
2572,100000
2573,100000
2574,100000
2575,100000
2576,100000
2577,100000
2578,100000
2579,100000
2580,100000
2581,100000
2582,100000
2583,100000
2584,100000
2585,100000
2586,100000
2587,100000
2588,100000
2589,100000
2590,100000
2591,100000
2592,100000
2593,100000
2594,100000
2595,100000
2596,100000
2597,100000
2598,100000
2599,100000
26,100000
2600,100000
2601,100000
2602,100000
2603,100000
2604,100000
2605,100000
2606,100000
2607,100000
2608,100000
2609,100000
2610,100000
2611,100000
2612,100000
2613,100000
2614,100000
2615,100000
2616,100000
2617,100000
2618,100000
2619,100000
2620,100000
2621,100000
2622,100000
2623,100000
2624,100000
2625,100000
2626,100000
2627,100000
2628,100000
2629,100000
2630,100000
2631,100000
2632,100000
2633,100000
2634,100000
2635,100000
2636,100000
2637,100000
2638,100000
2639,100000
2640,100000
2641,100000
2642,100000
2643,100000
2644,100000
2645,100000
2646,100000
2647,100000
2648,100000
2649,100000
2650,100000
2651,100000
2652,100000
2653,100000
2654,100000
2655,100000
2656,100000
2657,100000
2658,100000
2659,100000
2660,100000
2661,100000
2662,100000
2663,100000
2664,100000
2665,100000
2666,100000
2667,100000
2668,100000
2669,100000
2670,100000
2671,100000
2672,100000
2673,100000
2674,100000
2675,100000
2676,100000
2677,100000
2678,100000
2679,100000
2680,100000
2681,100000
2682,100000
2683,100000
2684,100000
2685,100000
2686,100000
2687,100000
2688,100000
2689,100000
2690,100000
2691,100000
2692,100000
2693,100000
2694,100000
2695,100000
2696,100000
2697,100000
2698,100000
2699,100000
27,100000
2700,100000
2701,100000
2702,100000
2703,100000
2705,100000
2706,100000
2707,100000
2708,100000
2709,100000
2711,100000
2712,100000
2713,100000
2714,100000
2715,100000
2716,100000
2717,100000
2718,100000
2719,100000
2721,100000
2722,100000
2723,100000
2724,100000
2725,100000
2726,100000
2727,100000
2728,100000
2729,100000
2730,100000
2731,100000
2732,100000
2733,100000
2734,100000
2735,100000
2736,100000
2737,100000
2738,100000
2739,100000
2740,100000
2741,100000
2742,100000
2743,100000
2745,100000
2746,100000
2747,100000
2748,100000
2749,100000
2750,100000
2751,100000
2752,100000
2753,100000
2755,100000
2756,100000
2757,100000
2758,100000
2759,100000
2760,100000
2761,100000
2762,100000
2763,100000
2765,100000
2766,100000
2767,100000
2768,100000
2769,100000
2770,100000
2771,100000
2772,100000
2773,100000
2774,100000
2775,100000
2776,100000
2777,100000
2778,100000
2779,100000
2780,100000
2781,100000
2782,100000
2783,100000
2785,100000
2786,100000
2787,100000
2788,100000
2789,100000
2790,100000
2791,100000
2792,100000
2793,100000
2795,100000
2796,100000
2797,100000
2798,100000
2799,100000
28,100000
2800,100000
2801,100000
2802,100000
2803,100000
2805,100000
2806,100000
2807,100000
2808,100000
2809,100000
2810,100000
2811,100000
2812,100000
2813,100000
2815,100000
2816,100000
2817,100000
2818,100000
2819,100000
2820,100000
2821,100000
2822,100000
2823,100000
2824,100000
2825,100000
2826,100000
2827,100000
2828,100000
2829,100000
2830,100000
2831,100000
2832,100000
2833,100000
2835,100000
2836,100000
2837,100000
2838,100000
2839,100000
2840,100000
2841,100000
2842,100000
2843,100000
2845,100000
2846,100000
2847,100000
2848,100000
2849,100000
2850,100000
2851,100000
2852,100000
2853,100000
2855,100000
2856,100000
2857,100000
2858,100000
2859,100000
2860,100000
2861,100000
2862,100000
2863,100000
2864,100000
2865,100000
2866,100000
2867,100000
2868,100000
2869,100000
2870,100000
2871,100000
2872,100000
2873,100000
2875,100000
2876,100000
2877,100000
2878,100000
2879,100000
2880,100000
2881,100000
2882,100000
2883,100000
2884,100000
2885,100000
2886,100000
2887,100000
2888,100000
2889,100000
2890,100000
2891,100000
2892,100000
2893,100000
2895,100000
2896,100000
2897,100000
2898,100000
2899,100000
29,100000
2900,100000
2901,100000
2902,100000
2903,100000
2905,100000
2906,100000
2907,100000
2908,100000
2909,100000
2910,100000
2911,100000
2912,100000
2913,100000
2915,100000
2916,100000
2917,100000
2918,100000
2919,100000
2920,100000
2921,100000
2922,100000
2923,100000
2925,100000
30,100000
300001,688373
300002,1534099
300003,425924
300004,407593
300005,1197513
300006,743687
300007,410546
300008,1145043
300009,803981
300010,518784
300011,838801
300012,1921377
300013,304139
300014,928736
300015,1123307
300016,479837
300017,2329229
300018,646423
300019,701307
300020,676309
300021,1013903
300022,405517
300023,376976
300024,2365720
300025,795433
300026,4712819
300027,1505591
300028,241241
300029,102347
300030,408117
300031,648921
300032,423114
300033,843548
300034,364328
300035,827019
300036,525335
300037,340480
300038,154500
300039,1088738
300040,423867
300041,558799
300042,207068
300043,2061217
300044,421745
300045,816827
300046,285028
300047,322262
300048,827622
300049,358071
300050,831815
300051,628676
300052,267168
300053,511490
300054,1279075
300055,794113
300056,597241
300057,211309
300058,1875923
300059,2679396
300061,411289
300062,417516
300063,786728
300064,410692
300065,580406
300066,2040639
300067,604189
300068,255545
300069,200992
300070,1797395
300071,1113527
300072,1549253
300073,405823
300074,1344342
300075,693435
300076,828782
300077,515219
300078,1260211
300079,1246579
300080,263622
300081,505407
300082,681370
300083,823223
300084,447326
300085,1096983
300086,478079
300087,803682
300088,1627858
300089,379468
300090,728693
300091,636055
300092,255231
300093,182176
300094,243443
300095,402935
300096,512934
300097,364069
300098,1022626
300099,1362611
300100,330062
300101,815485
300102,537896
300103,337416
300104,3521826
300105,593056
300106,152618
300107,825310
300108,611172
300109,328575
300110,464947
300111,224234
300112,348186
300113,1131717
300114,585017
300115,995145
300116,902467
300117,672781
300118,329863
300119,559432
300120,247238
300121,481551
300122,413971
300123,335320
300124,1581551
300125,203317
300126,385609
300127,223477
300128,764869
300129,565393
300130,368802
300131,1838194
300132,596955
300133,2521852
300134,432624
300135,1215797
300136,1303106
300137,274607
300138,347477
300139,516338
300140,416051
300141,466909
300142,1433225
300143,223706
300144,826592
300145,1207517
300146,2648163
300147,518218
300148,586476
300149,649072
300150,450118
300151,801832
300152,687012
300153,427150
300154,443964
300155,806216
300156,918800
300157,613658
300158,216134
300159,1823828
300160,672070
300161,154086
300162,522796
300163,635786
300164,599455
300165,658306
300166,1861078
300167,697474
300168,816960
300169,308576
300170,653699
300171,846850
300172,526466
300173,530734
300174,375551
300175,444287
300176,125300
300177,814587
300178,453449
300179,616169
300180,258535
300181,712264
300182,3067966
300183,473076
300184,477489
300185,808080
300187,911313
300188,812418
300189,652197
300190,598185
300191,407550
300192,342044
300193,236554
300194,616102
300195,318341
300196,332372
300197,2093664
300198,1018330
300199,823166
300200,222215
300201,1060913
300202,671603
300203,102228
300204,735350
300205,556979
300206,617333
300207,664459
300208,1024770
300209,300484
300210,596203
300211,631542
300212,486880
300213,615163
300214,314606
300215,1682871
300216,535364
300217,1277409
300218,209030
300219,508607
300220,361884
300221,417603
300222,633011
300223,219366
300224,450978
300225,781784
300226,393281
300227,203006
300228,644972
300229,348916
300230,340676
300231,846258
300232,661524
300233,211095
300234,336682
300235,368293
300236,167227
300237,942039
300238,406349
300239,532661
300240,354316
300241,201901
300242,513039
300243,390841
300244,944770
300245,400998
300246,371437
300247,627622
300248,656824
300249,507906
300250,414880
300251,2504533
300252,378807
300253,2696665
300254,148342
300255,781232
300256,305668
300257,631641
300258,425540
300259,631076
300260,305268
300261,584992
300262,843851
300263,823078
300264,413938
300265,257441
300266,1273444
300267,1015517
300268,202652
300269,423465
300270,669114
300271,842677
300272,378543
300273,577384
300274,665396
300275,288164
300276,633546
300277,520813
300278,405967
300279,575152
300280,102015
300281,410639
300282,300479
300283,615219
300284,212698
300285,816105
300286,427887
300287,1227978
300288,607131
300289,255915
300290,412862
300291,810532
300292,928008
300293,474571
300294,470988
300295,380406
300296,1230150
300297,888800
300298,489280
300299,622051
300300,445233
300301,557112
300302,688613
300303,1476843
300304,810519
300305,375070
300306,412301
300307,212801
300308,330167
300309,405806
300310,766047
300311,489602
300312,303103
300313,202731
300314,369570
300315,1220689
300316,694715
300317,276305
300318,643134
300319,782574
300320,829227
300321,206703
300322,438433
300323,341630
300324,1643784
300325,1024482
300326,1101728
300327,176428
300328,366776
300329,369199
300330,216673
300331,304776
300332,204351
300333,325817
300334,226534
300335,231560
300336,455855
300337,443746
300338,438994
300339,627852
300340,201180
300341,409805
300342,416531
300343,756406
300344,338957
300345,430601
300346,331914
300347,818530
300348,510834
300349,303787
300350,364563
300351,446536
300352,1920801
300353,650232
300354,319054
300355,980074
300356,383116
300357,164944
300358,522008
300359,829404
300360,464313
300362,299540
300363,377745
300364,497525
300365,362528
300366,603929
300367,1257846
300368,811764
300369,809246
300370,1625215
300371,254564
300373,507955
300374,216354
300375,207816
300376,2271552
300377,1020271
300378,224124
300379,404304
300380,201550
300381,613139
300382,580067
300383,2019544
300384,284631
300385,151304
300386,447357
300387,202753
300388,302362
300389,407762
300390,379242
300391,250813
300392,602029
300393,151963
300394,255929
300395,459555
300396,254059
300397,200196
300398,458226
300399,190544
300400,301975
300401,200872
300402,100249
300403,256163
300404,200260
300405,150499
300406,411890
300407,402132
300408,409859
300409,302800
300410,250904
300411,200797
300412,451205
300413,100806
300414,201353
300415,369024
300416,201834
300417,202646
300418,396345
300419,765791
300420,501968
300421,103310
300422,502337
300423,120732
300424,181897
300425,440917
300426,501945
300427,322630
300428,307386
300429,312619
300430,257274
300431,264229
300432,308102
300433,364980
300434,200698
300435,302673
300436,202036
300437,281553
300438,301420
300439,301817
300440,405697
300441,364269
300442,100292
300443,403884
300444,223313
300445,401942
300446,202991
300447,341472
300448,250471
300449,200643
300450,605521
300451,301328
300452,201510
300453,201489
300455,281546
300456,200483
300457,377369
300458,202045
300459,756396
300460,100580
300461,101133
300462,200380
300463,302228
300464,251593
300465,320469
300466,541287
300467,401357
300468,100732
300469,100350
300470,202879
300471,510817
300472,150384
300473,102233
300474,200300
300475,100890
300476,254608
300477,253755
300478,100552
300479,201292
300480,200358
300481,201917
300482,201111
300483,100456
300484,402444
300485,202250
300486,100272
300487,251771
300488,161221
300489,200549
300490,201174
300491,181280
300492,100445
300493,252014
300494,201363
300495,755716
300496,392426
300497,152184
300498,152950
300499,181094
300500,201388
300501,127613
300502,301339
300503,250979
300505,100340
300506,251455
300507,180703
300508,100282
300509,101524
300510,200344
300511,151182
300512,204191
300513,160371
300514,100000
300515,200992
300516,100527
300517,100533
300518,100145
300519,201608
300520,220592
300521,180464
300522,181035
300523,180503
300525,100208
300526,200346
300527,105232
300528,120596
300529,100677
300530,101247
300531,350538
300532,182045
300533,100833
300534,350409
300535,100385
300536,180593
300537,160650
300538,100429
300539,220428
300540,100272
300541,100353
300542,100224
300543,201109
300545,100285
300546,251366
300547,101633
300548,100345
300549,200659
300550,100237
300551,100162
300552,100658
300553,100367
300554,100000
300555,250621
300556,100681
300557,100710
300558,100336
300559,100445
300560,150213
300561,150412
300562,320602
300563,100496
300565,100845
300566,150602
300567,100422
300568,161295
300569,180944
300570,181712
300571,200346
300572,101212
300573,100361
300575,100355
300576,150437
300577,180955
300578,101092
300579,100523
300580,100595
300581,200485
300582,150554
300583,100193
300584,100817
300585,201569
300586,100613
300587,100486
300588,100118
300589,130125
300590,202605
300591,130465
300592,100437
300593,100269
300595,180623
300596,150475
300597,100150
300598,100217
300599,100568
300600,100790
300601,100240
300602,100212
300603,100123
300604,100000
300605,100152
300606,100000
300607,180322
300608,130915
300609,100473
300610,150437
300611,200933
300612,150753
300613,100156
300615,101386
300616,100000
300617,100289
300618,100000
300619,100272
300620,100000
300621,100000
300622,100660
300623,100443
300624,100000
300625,100000
300626,100000
300627,100000
300628,201117
300629,100000
300630,100000
300631,160736
300632,100000
300633,100169
300635,160341
300636,100000
300637,101255
300638,100000
300639,100000
300640,100610
300641,100872
300642,100324
300643,100000
300645,100000
300647,100532
300648,100000
300649,200512
300650,100000
300651,100000
300652,100000
300653,100000
300654,100000
300655,100608
300656,100000
300657,100463
300658,100000
300659,100000
300660,100000
300661,100000
300662,100000
300663,100000
300664,100000
300665,100000
300666,100000
300667,100000
300668,100000
300669,100000
300670,100000
300671,100000
300672,100000
300673,100000
300675,100149
300676,100000
300677,100000
300678,100000
300679,100875
300680,100000
300681,100000
300682,100000
300683,100000
300684,100000
300685,100000
300686,100000
300687,100000
300688,100000
300689,100000
300690,100000
300691,100000
300692,100000
300693,100000
300695,100000
300696,100000
300697,100000
300698,100000
300699,100000
300700,100000
300701,100000
300702,100000
300703,100000
300705,100000
300706,100000
300707,100000
