code,up_limit,down_limit
000758,4.21,3.45
000759,6.17,5.05
000760,4.36,3.56
000761,4.08,3.34
000762,8.46,6.92
000766,8.17,6.69
000767,2.97,2.43
000768,16.45,13.46
000776,14.42,11.8
000777,12.02,9.84
000778,4.91,4.01
000779,10.54,8.62
000780,3.53,2.89
000782,5.45,4.46
000783,5.98,4.9
000785,7.91,6.47
000786,16.72,13.68
000788,6.22,5.09
000789,13.2,10.8
000790,5.39,4.41
000791,5.49,4.49
000792,9.45,7.73
000793,4.03,3.29
000795,4.19,3.43
000796,8.09,6.62
000797,5.26,4.3
000798,6.14,5.02
000799,17.14,14.02
000800,8.09,6.62
000801,4.98,4.08
000802,12.06,9.86
000803,14.88,12.18
000806,5.15,4.21
000807,4.52,3.7
000809,2.78,2.28
000810,6.74,5.52
000811,6.12,5.0
000812,4.21,3.45
000813,10.76,8.8
000815,7.93,6.49
000816,1.52,1.38
000818,10.55,8.63
000819,10.63,8.69
000820,7.48,6.12
000821,9.14,7.48
000822,5.76,4.72
000823,7.89,6.45
000825,5.05,4.13
000826,12.16,9.95
000828,8.31,6.8
000829,6.95,5.69
000830,11.85,9.69
000831,10.04,8.22
000833,5.39,4.41
000835,5.07,4.15
000836,4.71,3.85
000837,4.62,3.78
000838,3.47,2.84
000839,3.94,3.22
000848,8.64,7.07
000850,3.93,3.21
000851,5.07,4.15
000852,8.58,7.02
000856,16.61,13.59
000858,54.76,44.8
000859,3.33,2.73
000860,36.26,29.66
000861,2.88,2.36
000862,3.56,2.92
000863,4.31,3.53
000868,4.46,3.65
000869,30.14,24.66
000875,2.89,2.37
000876,7.07,5.79
000877,8.51,6.97
000878,8.94,7.32
000880,8.34,6.82
000881,8.04,6.58
000882,2.77,2.27
000883,4.02,3.29
000885,8.67,7.09
000886,4.3,3.52
000887,11.86,9.7
000888,6.62,5.42
000889,13.1,10.72
000890,5.36,4.38
000892,5.46,4.46
000893,4.62,4.18
000895,24.64,20.16
000897,3.15,2.57
000898,6.06,4.96
000899,4.64,3.8
000900,4.61,3.77
000901,11.03,9.03
000902,10.27,8.41
000903,2.89,2.37
000905,7.94,6.5
000906,5.75,4.71
000908,4.88,4.0
000909,7.8,6.38
000910,11.94,9.77
000911,6.71,5.49
000912,7.13,6.45
000913,11.09,9.07
000915,15.88,13.0
000917,8.03,6.57
000918,8.46,6.92
000919,7.3,5.98
000920,6.2,5.08
000921,7.91,6.47
000922,7.85,6.43
000923,15.1,12.36
000925,5.67,4.64
000926,7.33,5.99
000927,3.76,3.08
000928,4.84,3.96
000929,7.38,6.04
000930,8.79,7.19
000931,8.53,6.98
000932,7.03,5.75
000933,4.59,3.75
000935,18.62,15.24
000936,7.49,6.13
000937,4.28,3.5
000938,38.45,31.46
000939,1.27,1.15
000948,11.88,9.72
000949,3.1,2.54
000950,6.05,4.95
000951,12.32,10.08
000952,11.41,9.33
000953,4.21,3.81
000955,4.86,3.98
000957,5.59,4.57
000958,3.87,3.17
000959,4.19,3.43
000960,11.02,9.02
000961,7.01,5.73
000962,7.91,6.47
000963,37.47,30.65
000965,4.54,3.72
000966,3.58,2.93
000967,6.25,5.11
000968,13.2,10.8
000969,5.85,4.79
000970,8.53,6.98
000971,4.49,3.67
000972,2.8,2.54
000973,3.92,3.2
000975,8.88,7.26
000976,4.92,4.02
000977,19.65,16.07
000978,6.14,5.02
000979,0.35,0.29
000980,5.35,4.37
000981,4.76,3.9
000982,1.46,1.32
000983,6.7,5.48
000985,14.91,12.2
000987,9.11,7.45
000988,13.74,11.24
000989,11.97,9.79
000990,14.8,12.11
000993,5.56,4.55
000995,6.16,5.58
000996,10.6,8.68
000997,16.7,13.66
000998,14.41,11.79
000999,26.66,21.82
001696,5.78,4.73
001872,18.56,15.18
001896,3.52,2.88
001965,9.13,7.47
001979,20.21,16.53
002001,18.01,14.73
002002,3.51,2.87
002003,8.0,6.54
002004,5.56,4.55
002005,2.84,2.32
002006,5.61,4.59
002007,42.04,34.4
002008,35.35,28.93
002009,8.53,6.98
002010,9.0,7.36
002011,6.04,4.94
002012,5.18,4.24
002013,8.49,6.95
002014,6.66,5.45
002015,5.47,4.47
002016,9.87,8.07
002017,6.77,5.54
002018,1.33,1.21
