code,up_limit,down_limit
000001,10.0,8.18
000002,26.64,21.8
000004,20.78,17.0
000005,3.25,2.66
000006,6.36,5.2
000007,15.03,12.29
000008,5.46,4.46
000009,5.29,4.33
000010,4.19,3.43
000011,12.4,10.14
000012,5.41,4.43
000014,16.61,13.59
000016,5.5,4.5
000017,5.01,4.1
000018,3.89,3.19
000019,11.7,9.58
000020,15.24,12.47
000021,7.26,5.94
000023,14.41,11.79
000025,34.94,28.58
000026,9.66,7.9
000027,5.37,4.39
000028,53.03,43.39
000029,12.29,10.05
000030,8.2,6.71
000031,6.55,5.36
000032,8.2,6.71
000034,17.16,14.04
000035,7.39,6.05
000036,7.21,5.9
000037,6.58,5.38
000038,19.91,16.29
000039,14.32,11.72
000040,11.07,9.05
000042,16.28,13.32
000043,7.67,6.27
000045,7.68,6.28
000046,6.26,5.12
000048,24.09,19.71
000049,30.2,24.71
000050,15.18,12.42
000055,6.11,5.0
000056,11.53,9.43
000058,5.52,4.52
000059,7.5,6.14
000060,5.19,4.25
000061,5.92,4.84
000062,21.2,17.34
000063,14.14,11.57
000065,8.14,6.66
000066,7.44,6.08
000068,3.27,2.67
000069,7.83,6.41
000070,7.68,6.28
000078,5.2,4.26
000088,7.1,5.81
000089,8.24,6.74
000090,8.47,6.93
000096,11.81,9.67
000099,6.94,5.68
000100,3.1,2.54
000150,29.7,24.3
000151,13.02,10.66
000153,6.89,5.63
000155,6.19,5.07
000156,10.67,8.73
000157,4.48,3.66
000158,7.29,5.97
000159,3.96,3.24
000166,4.69,3.83
000301,7.78,6.36
000333,55.53,45.43
000338,9.57,7.83
000400,8.39,6.87
000401,9.7,7.94
000402,8.91,7.29
000403,31.29,28.31
000404,4.68,3.83
000407,4.5,3.68
000408,14.95,12.23
000409,3.8,3.44
000410,8.1,6.62
000411,15.6,12.76
000413,6.62,5.42
000415,6.42,5.26
000416,5.1,4.18
000417,6.3,5.16
000418,72.71,59.49
000419,5.23,4.28
000420,2.82,2.3
000421,5.21,4.27
000422,2.18,1.98
000423,58.38,47.76
000425,4.57,3.74
000426,7.93,6.49
000428,3.01,2.47
000429,7.85,6.43
000430,7.18,5.88
000488,13.74,11.24
000498,4.68,3.83
000501,13.42,10.98
000502,8.01,6.55
000503,33.2,27.16
000504,22.44,18.36
000505,6.86,5.62
000506,3.84,3.14
000507,10.08,8.24
000509,3.11,2.55
000510,5.24,4.28
000511,1.08,0.88
000513,47.96,39.24
000514,4.94,4.04
000516,5.42,4.44
000517,3.32,2.72
000518,4.52,3.7
000519,8.49,6.95
000520,3.16,2.58
000521,4.14,3.38
000523,8.69,7.11
000524,9.76,7.98
000525,18.25,14.93
000526,31.0,25.36
000528,11.13,9.11
000529,5.82,4.76
000530,4.0,3.28
000531,5.34,4.37
000532,10.75,8.79
000533,4.05,3.31
000534,12.97,10.61
000536,3.0,2.46
000537,10.57,8.65
000538,114.43,93.63
000539,4.64,3.8
000540,5.36,4.38
000541,6.55,5.36
000543,4.82,3.94
000544,7.45,6.09
000545,4.14,3.38
000546,14.48,11.84
000547,8.32,6.8
000548,4.68,3.83
000550,13.12,10.74
000551,6.2,5.08
000552,3.56,2.92
000553,17.04,13.94
000554,6.35,5.19
000555,13.05,10.67
000557,3.58,2.93
000558,4.0,3.28
000559,7.35,6.01
000560,6.13,5.01
000561,6.38,5.22
000563,3.73,3.05
000564,5.26,4.3
000565,5.43,4.45
000566,14.18,11.6
000567,18.33,14.99
000568,68.92,56.39
000570,4.55,3.73
000571,4.63,3.79
000572,3.7,3.02
000573,3.97,3.25
000576,19.57,16.01
000581,24.5,20.04
000582,8.31,6.8
000584,15.26,12.48
000585,2.05,1.85
000586,11.97,9.79
000587,5.46,4.46
000589,3.58,2.93
000590,10.71,8.77
000591,4.55,3.73
000592,3.03,2.48
000593,5.41,4.43
000595,3.87,3.17
000596,99.07,81.05
000597,14.41,11.79
000598,4.46,3.65
000599,5.39,4.41
000600,6.0,4.91
000601,4.88,4.0
000603,11.91,9.75
000605,15.38,12.58
000606,7.16,5.86
000607,4.44,3.64
000608,6.4,5.24
000609,6.64,5.44
000610,6.41,5.25
000611,7.4,6.06
000612,5.71,4.67
000613,9.68,7.92
000615,7.21,5.9
000616,3.76,3.08
000617,11.75,9.61
000619,6.74,5.52
000620,6.15,5.03
000622,3.52,2.88
000623,19.83,16.23
000625,9.72,7.96
000626,7.73,6.33
000627,7.58,6.2
000628,9.17,7.51
000630,2.41,1.97
000631,3.64,2.98
000632,6.69,5.47
000633,5.15,4.21
000635,10.1,8.26
000636,16.19,13.25
000637,4.64,3.8
000638,6.46,5.28
000639,14.17,11.59
000650,6.78,5.54
000651,50.02,40.92
000652,3.39,2.77
000655,3.37,3.05
000656,5.05,4.13
000657,11.08,9.06
000659,2.9,2.38
000661,229.46,187.74
000662,6.8,5.56
000663,8.25,6.75
000665,9.56,7.82
000666,19.89,16.27
000667,2.32,1.9
000668,11.73,9.59
000669,7.98,6.53
000670,5.53,4.53
000671,6.51,5.33
000672,9.85,8.06
000673,20.17,16.51
000676,13.24,10.84
000677,4.27,3.49
000678,5.18,4.24
000679,5.18,4.24
000680,3.73,3.05
000681,30.11,24.63
000682,4.13,3.38
000683,3.06,2.5
000685,8.59,7.03
000686,6.84,5.6
000687,9.71,7.95
000688,12.93,10.58
000690,7.62,6.24
000691,4.24,3.47
000692,3.29,2.69
000693,3.48,3.14
000695,9.35,7.65
000697,15.39,12.59
000698,4.69,3.83
000700,3.98,3.26
000701,7.47,6.11
000702,6.25,5.11
000703,16.16,13.22
000705,6.85,5.61
000707,2.67,2.41
000708,10.04,8.22
000709,3.26,2.66
000710,54.77,44.81
000711,11.02,9.02
000712,10.71,8.77
000713,6.69,5.47
000715,7.36,6.02
000716,3.86,3.16
000717,7.15,5.85
000718,4.05,3.31
000719,7.15,5.85
000720,3.91,3.53
000721,4.25,3.47
000722,6.58,5.38
000723,5.97,4.89
000725,3.72,3.04
000726,11.64,9.52
000727,2.06,1.68
000728,7.9,6.46
000729,7.38,6.04
000731,5.67,4.64
000732,20.46,16.74
000733,14.18,11.6
000735,14.54,11.9
000736,12.05,9.86
000737,3.09,2.79
000738,14.36,11.75
000739,7.71,6.31
000750,3.82,3.12
000751,3.54,2.9
000752,8.66,7.08
000753,3.21,2.63
000755,5.59,5.05
000756,11.07,9.05
000757,6.28,5.14
000758,4.88,4.0
000759,7.76,6.35
000760,3.56,2.92
000761,4.52,3.7
000762,10.38,8.5
000766,12.82,10.49
000767,2.78,2.28
000768,16.69,13.65
000776,14.38,11.76
000777,10.19,8.33
000778,4.7,3.84
