code,up_limit,down_limit
000001,11.99,9.81
000002,36.62,29.96
000004,25.14,20.57
000005,4.25,3.47
000006,8.11,6.63
000007,15.76,12.9
000008,7.52,6.16
000009,6.68,5.46
000010,4.96,4.06
000011,17.6,14.4
000012,8.28,6.78
000014,13.53,11.07
000016,7.69,6.29
000017,6.15,5.03
000018,6.72,5.5
000019,13.37,10.94
000020,16.57,13.55
000021,9.61,7.87
000023,20.31,16.61
000025,41.07,33.61
000026,11.99,9.81
000027,6.42,5.26
000028,65.42,53.52
000029,12.29,10.05
000030,7.87,6.44
000031,8.8,7.2
000032,11.02,9.02
000034,23.76,19.44
000035,7.39,6.05
000036,9.33,7.63
000037,7.87,6.44
000038,20.35,16.65
000039,18.4,15.06
000040,12.99,10.63
000042,17.3,14.16
000043,10.03,8.21
000045,10.05,8.23
000046,8.71,7.13
000048,26.28,21.5
000049,37.58,30.74
000050,17.78,14.54
000055,8.04,6.58
000056,14.6,11.94
000058,7.28,5.96
000059,9.94,8.14
000060,10.31,8.43
000061,7.98,6.53
000062,21.6,17.68
000063,33.17,27.14
000065,19.5,15.96
000066,9.02,7.38
000068,4.92,4.02
000069,9.06,7.42
000070,10.45,8.55
000078,6.7,5.48
000088,8.03,6.57
000089,9.3,7.61
000090,10.76,8.8
000096,13.45,11.01
000099,9.48,7.76
000100,3.82,3.12
000150,31.34,25.64
000151,19.55,15.99
000153,9.24,7.56
000155,7.84,6.42
000156,12.54,10.26
000157,4.63,3.79
000158,8.91,7.29
000159,5.02,4.1
000166,5.47,4.47
000301,7.49,6.13
000333,59.98,49.08
000338,9.09,7.43
000400,12.46,10.2
000401,15.82,12.94
000402,10.78,8.82
000403,32.41,29.33
000404,6.36,5.2
000407,6.52,5.34
000408,18.37,15.03
000409,6.45,5.27
000410,12.55,10.27
000411,26.06,21.32
000413,8.51,6.97
000415,6.42,5.26
000416,6.6,5.4
000417,8.1,6.62
000418,72.37,59.21
000419,6.17,5.05
000420,3.1,2.54
000421,5.92,4.84
000422,3.41,2.79
000423,67.82,55.49
000425,4.29,3.51
000426,10.77,8.81
000428,4.29,3.51
000429,8.77,7.17
000430,9.35,7.65
000488,19.21,15.71
000498,6.71,5.49
000501,16.75,13.71
000502,10.09,8.25
000503,43.4,35.51
000504,26.4,21.6
000505,9.63,7.88
000506,4.93,4.03
000507,9.99,8.17
000509,4.24,3.47
000510,7.27,5.95
000513,79.86,65.34
000514,7.28,5.96
000516,5.38,4.4
000517,4.64,3.8
000518,6.75,5.53
000519,9.93,8.13
000520,3.66,3.0
000521,4.79,3.92
000523,8.49,6.95
000524,10.9,8.92
000525,24.0,19.64
000526,29.59,26.77
000528,9.79,8.01
000529,6.99,5.72
000530,5.76,4.72
000531,7.63,6.25
000532,15.91,13.01
000533,10.59,8.67
000534,14.36,11.75
000536,4.47,3.65
000537,14.39,11.77
000538,108.9,89.1
000539,4.96,4.06
000540,8.09,6.62
000541,9.53,7.79
000543,5.31,4.35
000544,15.11,12.37
000545,4.8,3.92
000546,17.08,13.98
000547,11.72,9.59
000548,6.9,5.64
000550,16.41,13.43
000551,8.11,6.63
000552,3.83,3.13
000553,15.65,12.81
000554,7.9,6.46
000555,18.21,14.9
000557,5.01,4.1
000558,4.9,4.01
000559,9.58,7.84
000560,8.54,6.98
000561,8.38,6.86
000563,4.35,3.56
000564,5.26,4.3
000565,7.56,6.18
000566,14.18,11.6
000567,29.65,24.26
000568,62.43,51.08
000570,5.72,4.68
000571,5.5,4.5
000572,4.44,3.64
000573,5.15,4.21
000576,22.35,18.29
000581,24.81,20.3
000582,9.44,7.72
000584,15.28,12.5
000585,3.5,3.16
000586,15.7,12.84
000587,7.81,6.39
000589,4.61,3.77
000590,13.26,10.85
000591,5.23,4.28
000592,4.66,3.82
000593,7.59,6.21
000595,4.75,4.29
000596,64.55,52.81
000597,11.13,9.11
000598,5.54,4.54
000599,6.56,5.36
000600,7.94,6.5
000601,7.59,6.21
000603,12.49,10.22
000605,23.12,18.92
000606,7.91,6.47
000607,5.94,4.86
000608,7.34,6.0
000609,10.09,8.25
000610,10.91,8.93
000611,7.93,6.49
000612,8.1,6.62
000613,11.69,9.57
000615,11.44,9.36
000616,3.76,3.08
000617,14.75,12.07
000619,7.91,6.47
000620,6.73,5.51
000622,4.83,3.95
000623,22.66,18.54
000625,12.34,10.1
000626,13.06,10.68
000627,8.49,6.95
000628,9.7,7.94
000630,2.89,2.37
000631,4.49,3.67
000632,6.45,5.27
000633,8.91,7.29
000635,14.23,11.65
000636,15.98,13.08
000637,6.05,4.95
000638,9.81,8.03
000639,16.67,13.64
000650,5.67,4.64
000651,51.59,42.21
000652,5.01,4.1
000655,6.33,5.18
000656,6.03,4.93
000657,12.03,9.85
000659,3.92,3.54
000661,201.94,165.22
000662,14.69,12.02
000663,13.57,11.11
000665,11.44,9.36
000666,20.12,16.46
000667,3.27,2.67
000668,14.27,11.67
000669,12.86,10.52
000670,6.61,5.41
000671,8.47,6.93
000672,13.44,11.0
000673,16.94,13.86
000676,13.23,10.83
000677,3.51,2.87
000678,6.8,5.56
000679,7.0,5.72
000680,4.8,3.92
000681,30.36,24.84
000682,4.83,3.95
000683,2.97,2.43
000685,11.06,9.05
000686,8.65,7.07
000687,11.94,9.77
000688,11.28,9.23
000690,9.03,7.39
000691,6.81,5.57
000692,4.41,3.61
000693,8.72,7.89
000695,11.01,9.01
000697,21.15,17.31
000698,6.09,4.99
000700,5.46,4.46
000701,10.89,8.91
000702,7.36,6.02
000703,28.61,23.41
000705,8.82,7.22
000707,4.44,3.64
000708,11.29,9.23
000709,3.86,3.16
000710,53.69,43.93
000711,13.22,10.82
000712,17.02,13.92
000713,7.41,6.07
000715,9.46,7.74
000716,5.81,4.75
000717,6.84,5.6
000718,4.48,3.66
000719,9.45,7.73
000720,4.69,3.83
000721,5.78,4.73
000722,9.78,8.0
000723,5.97,4.89
000725,5.85,4.79
000726,11.48,9.4
000727,2.66,2.18
000728,10.08,8.24
000729,8.39,6.87
000731,8.18,6.7
000732,30.45,24.91
000733,14.95,12.23
000735,11.36,9.3
000736,20.43,16.71
000737,4.05,3.67
000738,18.45,15.09
000739,7.05,5.77
000750,4.79,3.92
000751,5.02,4.1
000752,15.51,12.69
000753,3.78,3.1
000755,6.69,6.05
000756,13.75,11.25
000757,7.73,6.33
000758,6.34,5.18
000759,9.22,7.54
000760,5.3,4.34
000761,4.92,4.02
000762,14.76,12.08
000766,14.96,12.24
000767,3.01,2.47
000768,18.9,15.46
000776,18.13,14.83
000777,15.17,12.41
000778,5.42,4.44
000779,14.82,12.12
000780,5.18,4.68
000782,7.43,6.08
000783,7.96,6.52
000785,10.71,8.77
000786,27.7,22.66
000788,8.02,6.56
000789,12.87,10.53
000790,9.0,7.36
000791,7.65,6.26
000792,14.2,11.62
000793,9.24,7.56
000795,6.52,5.34
000796,14.19,11.61
000797,9.91,8.11
000798,9.33,7.63
000799,25.41,20.79
000800,11.22,9.18
000801,7.27,5.95
000802,12.9,10.56
000803,21.95,19.86
000806,8.68,7.1
000807,8.44,6.9
000809,3.6,3.26
000810,9.74,7.97
000811,7.79,6.37
000812,7.89,6.45
000813,9.35,7.65
000815,13.55,11.09
000816,3.81,3.11
000818,14.01,11.47
000819,13.38,10.94
