code,up_limit,down_limit
000001,9.88,8.08
000002,26.57,21.74
000004,20.61,16.87
000005,3.2,2.62
000006,6.05,4.95
000007,15.29,12.51
000008,5.46,4.46
000009,5.38,4.4
000010,4.57,3.74
000011,11.53,9.43
000012,5.36,4.38
000014,14.52,11.88
000016,5.63,4.61
000017,4.75,3.89
000018,3.59,2.93
000019,11.08,9.06
000020,14.47,11.84
000021,7.56,6.18
000023,14.27,11.67
000025,35.09,28.71
000026,9.48,7.76
000027,5.41,4.43
000028,52.86,43.25
000029,12.29,10.05
000030,8.07,6.61
000031,6.33,5.18
000032,8.21,6.71
000034,16.68,13.64
000035,6.0,4.91
000036,5.98,4.9
000037,6.49,5.31
000038,19.91,16.29
000039,14.06,11.5
000040,10.12,8.28
000042,17.47,14.29
000043,7.79,6.37
000045,7.72,6.32
000046,6.15,5.03
000048,18.0,16.28
000049,30.56,25.0
000050,15.73,12.87
000055,5.53,4.53
000056,11.55,9.45
000058,5.51,4.51
000059,7.44,6.08
000060,5.05,4.13
000061,5.83,4.77
000062,21.23,17.37
000063,13.96,11.42
000065,8.39,6.87
000066,7.83,6.41
000068,3.22,2.64
000069,7.04,5.76
000070,8.34,6.82
000078,4.88,4.0
000088,6.31,5.17
000089,8.83,7.23
000090,6.26,5.12
000096,12.09,9.89
000099,7.03,5.75
000100,3.06,2.5
000150,29.54,24.17
000151,12.93,10.58
000153,7.04,5.76
000155,5.6,4.58
000156,10.55,8.63
000157,4.43,3.63
000158,7.05,5.77
000159,3.97,3.25
000166,4.82,3.94
000301,6.66,5.45
000333,53.35,43.65
000338,9.33,7.63
000400,8.54,6.98
000401,10.76,8.8
000402,7.98,6.53
000403,32.14,29.08
000404,4.64,3.8
000407,4.57,3.74
000408,16.01,13.1
000409,3.43,3.11
000410,8.97,7.34
000411,14.41,11.79
000413,6.61,5.41
000415,6.42,5.26
000416,5.13,4.19
000417,6.33,5.18
000418,65.85,53.87
000419,5.34,4.37
000420,2.64,2.16
000421,5.19,4.25
000422,2.15,1.95
000423,57.97,47.43
000425,4.32,3.54
000426,7.93,6.49
000428,3.09,2.53
000429,7.66,6.26
000430,7.22,5.9
000488,13.27,10.85
000498,4.16,3.4
000501,12.27,10.04
000502,7.35,6.01
000503,33.44,27.36
000504,22.86,18.7
000505,6.6,5.4
000506,3.23,2.65
000507,9.08,7.43
000509,3.11,2.55
000510,6.0,4.91
000511,0.88,0.72
000513,50.42,41.26
000514,4.74,3.88
000516,5.43,4.45
000517,3.23,2.65
000518,4.52,3.7
000519,8.91,7.29
000520,3.26,2.66
000521,4.08,3.34
000523,6.97,5.71
000524,9.04,7.4
000525,18.37,15.03
000526,31.0,25.36
000528,10.82,8.86
000529,5.78,4.73
000530,4.07,3.33
000531,5.53,4.53
000532,10.63,8.69
000533,3.91,3.2
000534,13.13,10.75
000536,2.93,2.39
000537,10.35,8.47
000538,112.53,92.07
000539,4.82,3.94
000540,5.36,4.38
000541,6.46,5.28
000543,4.95,4.05
000544,7.41,6.07
000545,4.14,3.38
000546,14.97,12.25
000547,8.9,7.28
000548,4.61,3.77
000550,12.89,10.55
000551,6.48,5.3
000552,3.5,2.86
000553,17.3,14.16
000554,6.53,5.35
000555,14.81,12.11
000557,3.58,2.93
000558,3.93,3.21
000559,7.34,6.0
000560,6.59,5.39
000561,6.66,5.45
000563,3.6,2.94
000564,5.26,4.3
000565,4.95,4.05
000566,11.83,9.68
000567,16.76,13.72
000568,64.71,52.95
000570,4.61,3.77
000571,4.35,3.56
000572,3.53,2.89
000573,3.72,3.04
000576,12.53,10.25
000581,23.87,19.53
000582,8.21,6.71
000584,15.26,12.48
000585,1.87,1.69
000586,11.4,9.32
000587,4.02,3.29
000589,3.61,2.95
000590,11.17,9.14
000591,3.98,3.26
000592,3.1,2.54
000593,6.68,5.46
000595,4.33,3.55
000596,99.36,81.3
000597,13.84,11.32
000598,4.44,3.64
000599,5.26,4.3
000600,6.03,4.93
000601,4.91,4.01
000603,11.91,9.75
000605,11.67,9.55
000606,7.36,6.02
000607,4.61,3.77
000608,5.95,4.87
000609,6.62,5.42
000610,6.49,5.31
000611,7.4,6.06
000612,5.39,4.41
000613,9.16,7.5
000615,7.28,5.96
000616,3.76,3.08
000617,11.88,9.72
000619,7.14,5.84
000620,5.85,4.79
000622,3.55,2.91
000623,19.31,15.8
000625,9.22,7.54
000626,7.79,6.37
000627,7.49,6.13
000628,8.9,7.28
000630,2.32,1.9
000631,3.7,3.02
000632,6.02,4.92
000633,5.29,4.33
000635,9.87,8.07
000636,20.9,17.1
000637,4.53,3.71
000638,6.17,5.05
000639,13.66,11.18
000650,7.28,5.96
000651,50.47,41.29
000652,3.3,2.7
000655,3.26,2.95
000656,5.2,4.26
000657,7.51,6.15
000659,2.53,2.07
000661,257.5,210.68
000662,6.82,5.58
000663,8.42,6.89
000665,9.36,7.66
000666,19.89,16.27
000667,2.39,1.95
000668,11.94,9.77
000669,7.98,6.53
000670,4.73,3.87
000671,6.53,5.35
000672,9.68,7.92
000673,20.17,16.51
000676,11.56,9.46
000677,4.13,3.38
000678,5.92,4.84
000679,5.28,4.32
000680,3.66,3.0
000681,31.22,25.54
000682,4.17,3.41
000683,3.09,2.53
000685,8.69,7.11
000686,6.96,5.7
000687,9.85,8.06
000688,13.04,10.67
000690,7.77,6.35
000691,4.31,3.53
000692,3.34,2.74
000693,3.48,3.14
000695,9.36,7.66
000697,15.52,12.7
000698,4.61,3.77
000700,4.03,3.29
000701,7.56,6.18
000702,6.29,5.15
000703,15.58,12.74
000705,7.05,5.77
000707,2.69,2.43
000708,9.53,7.79
000709,3.16,2.58
000710,53.9,44.1
000711,11.02,9.02
000712,10.82,8.86
000713,7.69,6.29
000715,7.11,5.81
000716,3.78,3.1
000717,7.29,5.97
000718,3.97,3.25
000719,7.38,6.04
000720,3.71,3.35
000721,4.26,3.48
000722,6.57,5.37
000723,5.97,4.89
000725,3.78,3.1
000726,11.3,9.24
000727,2.07,1.69
000728,7.94,6.5
000729,7.06,5.78
000731,5.71,4.67
000732,20.63,16.88
000733,14.69,12.02
000735,12.84,10.5
000736,12.21,9.99
000737,2.91,2.63
000738,16.5,13.5
000739,8.15,6.67
000750,3.86,3.16
000751,3.52,2.88
000752,9.09,7.43
000753,3.18,2.6
000755,4.74,4.28
000756,10.97,8.97
000757,6.28,5.14
000758,4.95,4.05
000759,8.09,6.62
000760,3.21,2.63
000761,4.5,3.68
000762,11.41,9.33
000766,13.0,10.64
000767,2.79,2.29
000768,18.04,14.76
000776,14.64,11.98
000777,11.41,9.33
000778,4.65,3.81
000779,14.82,12.12
000780,3.88,3.18
000782,6.36,5.2
000783,5.92,4.84
000785,8.77,7.17
000786,21.62,17.69
000788,7.84,6.42
000789,12.83,10.49
000790,9.0,7.36
000791,5.89,4.82
000792,11.89,9.73
000793,9.24,7.56
000795,4.97,4.07
000796,14.19,11.61
000797,7.63,6.25
000798,6.88,5.63
000799,27.16,22.22
000800,7.98,6.53
000801,4.93,4.03
000802,15.73,12.87
000803,14.72,13.32
000806,4.54,3.72
000807,5.4,4.42
000809,3.03,2.48
000810,11.76,9.62
000811,5.2,4.26
000812,4.04,3.3
000813,8.78,7.18
000815,8.98,7.34
000816,1.62,1.46
000818,13.9,11.38
000819,10.88,8.9
000820,8.91,7.29
000821,9.94,8.14
000822,7.15,5.85
000823,7.9,6.46
000825,6.34,5.18
000826,18.99,15.53
000828,8.77,7.17
000829,8.03,6.57
000830,19.8,16.2
000831,11.87,9.71
000833,5.59,4.57
000835,5.18,4.24
000836,4.62,3.78
000837,5.43,4.45
000838,4.42,3.62
000839,5.17,4.23
000848,11.28,9.23
000850,4.06,3.32
000851,5.39,4.41
000852,7.89,6.45
000856,14.73,12.05
000858,80.71,66.03
000859,3.25,2.66
000860,41.28,33.78
000861,2.68,2.2
000862,3.4,2.78
000863,4.93,4.03
000868,5.91,4.83
000869,45.27,37.04
000875,3.12,2.56
000876,6.95,5.69
000877,8.04,6.58
000878,10.27,8.41
000880,8.39,6.87
000881,10.21,8.35
000882,2.84,2.32
000883,4.53,3.71
000885,11.36,9.3
000886,5.24,4.28
000887,15.43,12.63
000888,8.97,7.34
000889,13.48,11.03
000890,5.64,4.62
000892,5.87,4.81
000893,4.04,3.66
000895,28.13,23.01
000897,2.43,1.99
000898,6.11,5.0
000899,4.48,3.66
000900,4.58,3.74
000901,12.08,9.88
000902,10.3,8.42
000903,2.77,2.27
000905,8.33,6.81
000906,5.38,4.4
000908,4.77,3.91
000909,8.59,7.03
000910,16.83,13.77
000911,6.01,4.91
000912,7.13,6.45
000913,12.91,10.57
000915,20.26,16.58
000917,6.14,5.02
000918,4.9,4.01
000919,8.32,6.8
000920,6.71,5.49
000921,10.65,8.71
000922,7.02,6.36
000923,15.4,12.6
000925,6.8,5.56
000926,7.65,6.26
000927,3.95,3.23
000928,5.86,4.8
000929,7.41,6.07
000930,11.03,9.03
000931,5.76,4.72
000932,9.59,7.85
000933,4.98,4.08
000935,18.04,14.76
000936,6.59,5.39
000937,4.5,3.68
000938,47.45,38.83
