code,up_limit,down_limit
000001,11.47,9.39
000002,26.87,21.99
000004,19.09,15.62
000005,3.32,2.72
000006,5.98,4.9
000007,13.85,11.33
000008,4.66,3.82
000009,5.1,4.18
000010,5.49,4.49
000011,12.94,10.58
000012,5.43,4.45
000014,11.56,9.46
000016,4.52,3.7
000017,4.36,3.56
000018,3.05,2.49
000019,9.88,8.08
000020,13.35,10.93
000021,6.84,5.6
000023,13.38,10.94
000025,29.63,24.25
000026,8.25,6.75
000027,5.82,4.76
000028,52.21,42.71
000029,12.29,10.05
000030,4.72,3.86
000031,6.2,5.08
000032,8.55,6.99
000034,15.48,12.66
000035,4.65,3.81
000036,5.81,4.75
000037,6.29,5.15
000038,14.3,11.7
000039,12.21,9.99
000040,12.74,10.42
000042,18.12,14.82
000043,7.62,6.24
000045,7.34,6.0
000046,6.23,5.09
000048,24.14,21.84
000049,29.48,24.12
000050,12.95,10.59
000055,5.28,4.32
000056,12.34,10.1
000058,5.5,4.5
000059,7.59,6.21
000060,5.04,4.12
000061,5.76,4.72
000062,21.67,17.73
000063,20.41,16.7
000065,9.37,7.67
000066,7.46,6.1
000068,3.23,2.65
000069,6.84,5.6
000070,8.34,6.82
000078,4.32,3.54
000088,6.22,5.09
000089,8.8,7.2
000090,6.53,5.35
000096,11.17,9.14
000099,6.86,5.62
000100,3.1,2.54
000150,17.79,14.55
000151,13.3,10.88
000153,6.81,5.57
000155,5.36,4.38
000156,9.38,7.68
000157,4.22,3.46
000158,6.24,5.1
000159,4.27,3.49
000166,4.93,4.03
000301,7.12,5.82
000333,46.51,38.05
000338,8.87,7.25
000400,8.34,6.82
000401,11.33,9.27
000402,7.68,6.28
000403,28.56,25.84
000404,4.59,3.75
000407,5.05,4.13
000408,12.9,10.56
000409,4.39,3.97
000410,8.49,6.95
000411,15.31,12.53
000413,5.96,4.88
000415,4.07,3.33
000416,4.63,3.79
000417,5.75,4.71
000418,49.64,40.62
000419,5.21,4.27
000420,2.48,2.03
000421,5.06,4.14
000422,3.01,2.73
000423,51.21,41.9
000425,4.47,3.65
000426,7.04,5.76
000428,3.04,2.48
000429,8.69,7.11
000430,7.1,5.81
000488,7.37,6.03
000498,4.37,3.57
000501,11.12,9.1
000502,7.04,5.76
000503,22.42,18.34
000504,12.54,10.26
000505,6.41,5.25
000506,3.52,2.88
000507,8.99,7.35
000509,3.23,2.65
000510,5.37,4.39
000513,42.44,34.72
000514,4.61,3.77
000516,6.15,5.03
000517,3.08,2.52
000518,4.54,3.72
000519,8.64,7.07
000520,3.59,2.93
000521,3.65,2.99
000523,4.98,4.08
000524,8.98,7.34
000525,15.9,13.01
000526,31.0,25.36
000528,12.27,10.04
000529,5.65,4.63
000530,3.95,3.23
000531,5.38,4.4
000532,9.71,7.95
000533,3.55,2.91
000534,12.68,10.38
000536,2.78,2.28
000537,9.78,8.0
000538,86.24,70.56
000539,4.87,3.99
000540,5.36,4.38
000541,6.49,5.31
000543,4.97,4.07
000544,7.41,6.07
000545,4.14,3.38
000546,11.89,9.73
000547,9.5,7.78
000548,4.76,3.9
000550,12.67,10.37
000551,6.24,5.1
000552,3.38,2.76
000553,13.97,11.43
000554,6.42,5.26
000555,13.29,10.87
000557,4.51,3.69
000558,3.56,2.92
000559,6.67,5.45
000560,6.19,5.07
000561,6.97,5.71
000563,3.12,2.56
000564,3.45,2.83
000565,5.56,4.55
000566,7.13,5.83
000567,13.31,10.89
000568,47.63,38.97
000570,4.57,3.74
000571,3.77,3.09
000572,3.09,2.53
000573,3.59,2.93
000576,6.44,5.27
000581,21.04,17.22
000582,9.36,7.66
000584,10.48,8.58
000585,2.18,1.98
000586,10.25,8.39
000587,3.26,2.66
000589,3.78,3.1
000590,10.88,8.9
000591,3.77,3.09
000592,3.03,2.48
000593,7.91,6.47
000595,3.83,3.13
000596,86.49,70.77
000597,13.83,11.31
000598,4.71,3.85
000599,5.05,4.13
000600,5.83,4.77
000601,4.73,3.87
000603,8.14,6.66
000605,10.04,8.22
000606,6.75,5.53
000607,4.73,3.87
000608,4.97,4.07
000609,6.16,5.04
000610,7.16,5.86
000611,6.31,5.17
000612,5.18,4.24
000613,8.99,7.35
000615,6.94,5.68
000616,2.87,2.35
000617,12.43,10.17
000619,7.01,5.73
000620,5.94,4.86
000622,3.52,2.88
000623,18.13,14.83
000625,7.72,6.32
000626,7.78,6.36
000627,6.99,5.72
000628,9.96,8.15
000629,3.29,2.69
000630,2.34,1.92
000631,3.76,3.08
000632,4.97,4.07
000633,5.3,4.34
000635,13.86,11.34
000636,18.38,15.04
000637,4.43,3.63
000638,5.6,4.58
000639,9.23,7.55
000650,8.1,6.62
000651,42.75,34.97
000652,3.26,2.66
000655,3.63,3.29
000656,5.76,4.72
000657,7.35,6.01
000659,3.17,2.59
000661,256.08,209.52
000662,5.7,4.66
000663,7.84,6.42
000665,8.76,7.16
000666,19.89,16.27
000667,2.54,2.08
000668,10.07,8.24
000669,6.91,5.65
000670,4.43,3.63
000671,6.73,5.51
000672,10.01,8.19
000673,7.02,5.74
000676,13.21,10.81
000677,3.6,2.94
000678,5.67,4.64
000679,4.59,3.75
000680,3.96,3.24
000681,35.23,28.83
000682,3.88,3.18
000683,3.08,2.52
000685,8.04,6.58
000686,6.84,5.6
000687,8.71,7.13
000688,12.41,10.15
000690,7.92,6.48
000691,4.21,3.45
000692,3.47,2.84
000695,9.55,7.81
000697,18.82,15.4
000698,4.68,3.83
000700,3.81,3.11
000701,7.68,6.28
000702,6.0,4.91
000703,18.33,14.99
000705,7.45,6.09
000707,3.24,2.94
000708,10.78,8.82
000709,3.23,2.65
000710,49.06,40.14
000711,11.02,9.02
000712,8.78,7.18
000713,6.9,5.64
000715,6.91,5.65
000716,3.62,2.96
000717,8.09,6.62
000718,3.63,2.97
000719,7.88,6.44
000720,3.85,3.49
000721,4.64,3.8
000722,6.52,5.34
000723,3.92,3.2
000725,3.75,3.07
000726,10.37,8.49
000727,1.94,1.58
000728,7.37,6.03
000729,6.8,5.56
000731,6.14,5.02
000732,17.77,14.54
000733,14.92,12.2
000735,11.57,9.47
000736,10.51,8.6
000737,3.29,2.97
000738,15.59,12.75
000739,7.87,6.44
000750,3.72,3.04
000751,3.47,2.84
000752,7.58,6.2
000753,3.25,2.66
000755,4.69,4.25
000756,7.18,5.88
000757,5.78,4.73
000758,4.51,3.69
000759,7.19,5.89
000760,3.65,2.99
000761,4.58,3.74
000762,10.84,8.87
000766,9.08,7.43
000767,3.03,2.48
000768,18.32,14.99
000776,14.84,12.14
000777,11.83,9.68
000778,5.42,4.44
000779,12.82,10.49
000780,3.94,3.22
000782,5.72,4.68
000783,5.57,4.55
000785,8.31,6.8
000786,19.75,16.16
000788,6.58,5.38
000789,14.04,11.48
000790,5.34,4.37
000791,5.13,4.19
000792,9.82,8.04
000793,3.76,3.08
000795,4.61,3.77
000796,9.26,7.58
000797,5.3,4.34
000798,6.52,5.34
000799,21.42,17.52
000800,7.18,5.88
000801,5.24,4.28
000802,11.02,9.02
000803,13.51,12.23
000806,3.84,3.14
000807,6.02,4.92
000809,2.94,2.4
000810,7.61,6.23
000811,5.29,4.33
000812,3.63,2.97
000813,8.75,7.16
000815,9.65,7.89
000816,1.67,1.51
000818,11.33,9.27
000819,11.01,9.01
000820,9.9,8.1
000821,9.79,8.01
000822,7.04,5.76
000823,8.13,6.65
000825,6.34,5.18
000826,15.24,12.47
000828,8.31,6.8
000829,9.02,7.38
000830,16.96,13.88
000831,10.7,8.76
000833,5.54,4.54
000835,4.79,3.92
000836,4.54,3.72
000837,5.08,4.16
000838,3.82,3.12
000839,4.71,3.85
000848,9.46,7.74
000850,3.84,3.14
000851,5.08,4.16
000852,10.68,8.74
000856,13.87,11.35
000858,69.05,56.49
000859,3.34,2.74
000860,47.27,38.67
000861,2.88,2.36
000862,3.73,3.05
000863,4.63,3.79
000868,5.07,4.15
000869,41.31,33.8
000875,3.19,2.61
000876,6.67,5.45
000877,9.16,7.5
000878,10.08,8.24
000880,8.15,6.67
000881,8.97,7.34
000882,2.88,2.36
000883,4.47,3.65
000885,11.32,9.26
000886,4.63,3.79
000887,12.23,10.01
000888,7.63,6.25
000889,13.99,11.45
000890,5.37,4.39
000892,4.86,3.98
000893,4.05,3.67
000895,26.08,21.34
000897,2.79,2.29
000898,6.78,5.54
000899,4.58,3.74
000900,4.57,3.74
000901,11.4,9.32
000902,9.96,8.15
000903,2.9,2.38
000905,8.16,6.68
000906,5.38,4.4
000908,4.97,4.07
000909,8.17,6.69
000910,15.27,12.49
000911,6.97,5.71
000912,7.13,6.45
000913,10.99,8.99
000915,17.68,14.46
000917,5.65,4.63
000918,6.62,5.42
000919,7.58,6.2
000920,6.55,5.36
000921,9.28,7.6
000922,6.65,6.01
000923,17.38,14.22
000925,6.06,4.96
000926,8.15,6.67
000927,3.44,2.82
000928,5.68,4.64
000929,7.25,5.93
000930,10.45,8.55
000931,6.47,5.29
000932,10.36,8.48
000933,5.63,4.61
000935,16.73,13.69
000936,5.74,4.7
000937,4.49,3.67
000938,50.15,41.03
000939,1.35,1.23
000948,11.0,9.0
000949,3.28,2.68
000950,8.42,6.89
000951,13.33,10.91
000952,12.11,9.91
000953,4.31,3.9
000955,5.25,4.29
000957,6.33,5.18
000958,3.89,3.19
000959,4.73,3.87
000960,11.25,9.21
000961,6.83,5.59
000962,6.5,5.32
000963,49.26,40.3
000965,4.64,3.8
000966,3.2,2.62
000967,7.35,6.01
000968,13.39,10.95
000969,6.03,4.93
000970,9.3,7.61
000971,5.03,4.11
000972,3.21,2.91
000973,4.07,3.33
000975,8.94,7.32
000976,5.01,4.1
000977,30.54,24.98
000978,6.75,5.53
000979,1.0,0.82
000980,6.16,5.04
000981,6.19,5.07
000982,1.62,1.46
000983,7.18,5.88
000985,15.06,12.32
000987,7.9,6.46
000988,15.33,12.55
000989,16.37,13.39
000990,15.75,12.89
000993,5.75,4.71
000995,6.07,5.49
000996,10.31,8.43
000997,15.71,12.85
000998,18.1,14.81
000999,29.39,24.05
001696,5.16,4.22
001872,20.42,16.7
001896,3.73,3.05
001965,9.16,7.5
001979,19.75,16.16
002001,16.74,13.7
002002,3.28,2.68
002003,8.49,6.95
002004,5.51,4.51
002005,3.47,2.84
002006,7.0,5.72
002007,38.34,31.37
002008,47.52,38.88
002009,10.74,8.78
002010,11.07,9.05
002011,7.04,5.76
002012,6.69,5.47
002013,9.46,7.74
002014,6.69,5.47
002015,5.4,4.42
002016,11.33,9.27
002017,6.55,5.36
002018,1.44,1.3
002019,13.89,11.37
002020,13.27,10.85
002021,3.22,2.64
002022,12.54,10.26
002023,12.71,10.4
002024,13.96,11.42
002025,29.99,24.53
002026,5.82,4.76
002027,9.47,7.75
002028,15.97,13.07
002029,7.48,6.12
002030,19.5,15.96
002031,2.32,1.9
002032,53.37,43.67
002033,7.9,6.46
002034,16.34,13.37
002035,11.55,9.45
002036,11.83,9.68
002037,8.99,7.35
002038,38.21,31.27
002039,15.24,12.47
002040,9.69,7.93
002041,8.09,6.62
002042,7.83,6.41
002043,7.5,6.14
002044,18.29,14.97
002045,6.11,5.0
002046,7.69,6.29
002047,6.26,5.12
002048,12.36,10.12
002049,48.6,39.76
002050,13.5,11.04
002051,16.8,13.74
002052,4.26,3.48
002053,8.9,7.28
002054,5.39,4.41
002055,13.22,10.82
002056,7.48,6.12
002057,6.91,5.65
002058,10.96,8.96
002059,8.01,6.55
002060,3.25,2.66
002061,10.09,8.25
002062,4.47,3.65
