code,up_limit,down_limit
000001,10.0,8.18
000002,27.06,22.14
000004,21.56,17.64
000005,3.26,2.66
000006,6.45,5.27
000007,14.73,12.05
000008,5.46,4.46
000009,5.39,4.41
000010,4.3,3.52
000011,12.18,9.96
000012,5.45,4.46
000014,16.86,13.8
000016,5.78,4.73
000017,5.01,4.1
000018,3.65,2.99
000019,10.65,8.71
000020,15.55,12.73
000021,7.5,6.14
000023,14.66,12.0
000025,35.39,28.95
000026,9.7,7.94
000027,5.43,4.45
000028,54.89,44.91
000029,12.29,10.05
000030,8.16,6.68
000031,6.36,5.2
000032,8.28,6.78
000034,17.58,14.38
000035,7.39,6.05
000036,6.53,5.35
000037,6.66,5.45
000038,19.91,16.29
000039,14.61,11.95
000040,11.11,9.09
000042,16.31,13.35
000043,7.8,6.38
000045,7.89,6.45
000046,6.26,5.12
000048,23.0,20.81
000049,31.04,25.4
000050,15.64,12.8
000055,6.18,5.06
000056,11.53,9.43
000058,5.63,4.61
000059,7.58,6.2
000060,5.35,4.37
000061,5.94,4.86
000062,21.56,17.64
000063,14.33,11.73
000065,8.43,6.89
000066,7.82,6.4
000068,3.34,2.74
000069,7.95,6.51
000070,7.98,6.53
000078,5.29,4.33
000088,7.25,5.93
000089,8.42,6.89
000090,6.82,5.58
000096,11.92,9.76
000099,7.0,5.72
000100,3.19,2.61
000150,29.81,24.39
000151,13.1,10.72
000153,7.01,5.73
000155,6.17,5.05
000156,10.6,8.68
000157,4.52,3.7
000158,7.56,6.18
000159,4.02,3.29
000166,4.81,3.93
000301,6.99,5.72
000333,57.44,47.0
000338,9.63,7.88
000400,8.59,7.03
000401,9.76,7.98
000402,8.86,7.25
000403,31.47,28.47
000404,4.76,3.9
000407,4.54,3.72
000408,16.01,13.1
000409,3.43,3.11
000410,8.8,7.2
000411,14.69,12.02
000413,6.67,5.45
000415,6.42,5.26
000416,5.21,4.27
000417,6.33,5.18
000418,76.29,62.42
000419,5.34,4.37
000420,2.76,2.26
000421,5.35,4.37
000422,2.17,1.97
000423,59.19,48.43
000425,4.66,3.82
000426,7.93,6.49
000428,3.1,2.54
000429,7.94,6.5
000430,7.29,5.97
000488,14.21,11.63
000498,4.69,3.83
000501,13.52,11.06
000502,8.09,6.62
000503,34.96,28.6
000504,23.87,19.53
000505,6.88,5.63
000506,3.54,2.9
000507,10.32,8.44
000509,3.11,2.55
000510,5.01,4.1
000511,0.87,0.71
000513,48.35,39.56
000514,4.96,4.06
000516,5.27,4.31
000517,3.37,2.75
000518,4.54,3.72
000519,8.55,6.99
000520,3.37,2.75
000521,4.22,3.46
000523,8.69,7.11
000524,9.76,7.98
000525,18.65,15.26
000526,31.0,25.36
000528,11.78,9.64
000529,6.18,5.06
000530,4.13,3.38
000531,5.52,4.52
000532,10.86,8.88
000533,4.06,3.32
000534,13.17,10.77
000536,3.03,2.48
000537,10.6,8.68
000538,117.66,96.26
000539,4.66,3.82
000540,5.36,4.38
000541,6.59,5.39
000543,4.85,3.97
000544,7.32,5.99
000545,4.14,3.38
000546,14.71,12.03
000547,8.59,7.03
000548,4.82,3.94
000550,13.32,10.9
000551,6.37,5.21
000552,3.6,2.94
000553,17.39,14.23
000554,6.49,5.31
000555,14.61,11.95
000557,3.54,2.9
000558,3.94,3.22
000559,7.48,6.12
000560,6.23,5.09
000561,6.51,5.33
000563,3.74,3.06
000564,5.26,4.3
000565,5.23,4.28
000566,14.18,11.6
000567,18.14,14.84
000568,66.95,54.77
000570,4.63,3.79
000571,4.62,3.78
000572,3.77,3.09
000573,3.96,3.24
000576,19.51,15.97
000581,24.32,19.9
000582,8.33,6.81
000584,15.26,12.48
000585,2.04,1.84
000586,11.83,9.68
000587,5.46,4.46
000589,3.62,2.96
000590,10.44,8.54
000591,4.03,3.29
000592,3.12,2.56
000593,5.7,4.66
000595,3.86,3.16
000596,97.66,79.9
000597,14.72,12.04
000598,4.47,3.65
000599,5.42,4.44
000600,6.13,5.01
000601,4.83,3.95
000603,11.91,9.75
000605,15.96,13.06
