code,name,date,pre_close,open,high,low,close,amt,vol,chg,chg_pct
000001,上证综指,20180808,2779.3740000000003,2771.1286,2779.9124,2741.067,2744.0696,139969762845.0,14768871500.0,-35.3044,-0.012702
000300,沪深300,20180808,3368.8695,3362.1485,3368.1602,3311.7694,3314.5075,90958912012.7,7928486500.0,-54.361999999999995,-0.016137000000000002
000852,中证1000,20180808,5279.6417,5263.1669,5278.2476,5187.6106,5191.7863,74883908748.0,9057595300.0,-87.8554,-0.016640000000000002
000905,中证500,20180808,4956.8718,4940.7793,4952.4185,4877.6644,4880.5694,53408613615.2,5808305100.0,-76.3024,-0.015393
000906,中证800,20180808,3633.7756,3625.3971,3632.39,3573.4486,3575.8095,144367525628.0,13736791600.0,-57.9661,-0.015952
399102,深证创业板综,20180808,1785.5810000000001,1780.514,1784.957,1745.9520000000002,1746.882,47881452404.55,4095809203.0,-38.699,-0.021672999999999998
399106,深证综指,20180808,1495.0529999999999,1491.851,1493.967,1466.319,1466.6960000000001,165379267286.075,17169350043.0,-28.357,-0.018966999999999998
