code,sw1,sw2,sw3
002301,轻工制造,家用轻工,文娱用品
002302,建筑材料,其他建材,其他建材
002303,轻工制造,包装印刷,包装印刷
002304,食品饮料,饮料制造,白酒
002305,房地产,房地产开发,房地产开发
002306,休闲服务,餐饮,餐饮
002307,建筑装饰,基础建设,路桥施工
002308,计算机,计算机设备,计算机设备
002309,电气设备,电源设备,光伏设备
002310,建筑装饰,园林工程,园林工程
002311,农林牧渔,饲料,饲料
002312,计算机,计算机设备,计算机设备
002313,通信,通信设备,通信传输设备
002314,建筑材料,其他建材,其他建材
002315,传媒,互联网传媒,互联网信息服务
002316,通信,通信设备,通信配套服务
002317,医药生物,中药,中药
002318,钢铁,钢铁,特钢
002319,化工,化学制品,涂料油漆油墨制造
002320,交通运输,航运,航运
002321,农林牧渔,畜禽养殖,畜禽养殖
002322,电气设备,电气自动化设备,电网自动化
002323,建筑材料,其他建材,其他建材
002324,化工,塑料,改性塑料
002325,建筑装饰,装修装饰,装修装饰
002326,化工,化学制品,氟化工及制冷剂
002327,纺织服装,服装家纺,家纺
002328,汽车,汽车零部件,汽车零部件
002329,食品饮料,食品加工,乳品
002330,食品饮料,食品加工,肉制品
002331,计算机,计算机应用,IT服务
002332,医药生物,化学制药,化学制剂
002333,建筑材料,其他建材,其他建材
002334,电气设备,电气自动化设备,工控自动化
002335,电气设备,电源设备,储能设备
002336,商业贸易,一般零售,超市
002337,机械设备,专用设备,其它专用机械
002338,机械设备,仪器仪表,仪器仪表
002339,电气设备,电气自动化设备,电网自动化
002340,有色金属,金属非金属新材料,金属新材料
002341,公用事业,环保工程及服务,环保工程及服务
002342,机械设备,金属制品,金属制品
002343,传媒,文化传媒,影视动漫
002344,商业贸易,商业物业经营,专业市场
002345,轻工制造,家用轻工,珠宝首饰
002346,建筑材料,其他建材,其他建材
002347,机械设备,通用机械,机械基础件
002348,轻工制造,家用轻工,文娱用品
002349,医药生物,中药,中药
002350,电气设备,高低压设备,中压设备
002351,电子,电子制造,电子系统组装
002352,交通运输,物流,物流
002353,机械设备,专用设备,冶金矿采化工设备
002354,传媒,互联网传媒,移动互联网服务
002355,汽车,汽车零部件,汽车零部件
002356,轻工制造,家用轻工,珠宝首饰
002357,交通运输,公交,公交
002358,电气设备,高低压设备,中压设备
002359,电气设备,高低压设备,线缆部件及其他
002360,化工,化学制品,民爆用品
002361,化工,化学制品,涂料油漆油墨制造
002362,计算机,计算机应用,软件开发
002363,汽车,汽车零部件,汽车零部件
002364,电气设备,电源设备,储能设备
002365,医药生物,化学制药,化学原料药
002366,机械设备,专用设备,其它专用机械
002367,机械设备,专用设备,楼宇设备
002368,计算机,计算机应用,IT服务
002369,电子,电子制造,电子系统组装
002370,医药生物,化学制药,化学制剂
002371,电子,半导体,半导体材料
002372,建筑材料,其他建材,管材
002373,计算机,计算机应用,IT服务
002374,建筑装饰,园林工程,园林工程
002375,建筑装饰,装修装饰,装修装饰
002376,计算机,计算机设备,计算机设备
002377,化工,石油化工,石油加工
002378,有色金属,稀有金属,钨
002379,有色金属,工业金属,铝
002380,计算机,计算机应用,IT服务
002381,化工,橡胶,其他橡胶制品
002382,化工,塑料,其他塑料制品
002383,计算机,计算机设备,计算机设备
002384,电子,电子制造,电子零部件制造
002385,农林牧渔,饲料,饲料
002386,化工,化学原料,氯碱
002387,食品饮料,饮料制造,软饮料
002388,电子,其他电子,其他电子
002389,电子,元件,被动元件
002390,医药生物,中药,中药
002391,化工,化学制品,农药
002392,建筑材料,其他建材,耐火材料
002393,医药生物,化学制药,化学制剂
002394,纺织服装,纺织制造,棉纺
002395,化工,塑料,其他塑料制品
002396,通信,通信设备,通信配套服务
002397,纺织服装,服装家纺,家纺
002398,建筑材料,其他建材,其他建材
002399,医药生物,化学制药,化学原料药
002400,传媒,营销传播,营销服务
002401,计算机,计算机应用,IT服务
002402,电子,电子制造,电子零部件制造
002403,家用电器,白色家电,小家电
002404,纺织服装,纺织制造,丝绸
002405,计算机,计算机应用,软件开发
002406,汽车,汽车零部件,汽车零部件
002407,化工,化学制品,氟化工及制冷剂
002408,化工,化学制品,聚氨酯
002409,化工,化学制品,其他化学制品
002410,计算机,计算机应用,软件开发
002411,医药生物,化学制药,化学制剂
002412,医药生物,中药,中药
002413,国防军工,航空装备,航空装备
002414,电子,其他电子,其他电子
002415,电子,电子制造,电子系统组装
002416,商业贸易,专业零售,专业连锁
002417,通信,通信设备,通信配套服务
002418,家用电器,白色家电,家电零部件
002419,商业贸易,一般零售,百货
002420,家用电器,视听器材,彩电
002421,计算机,计算机应用,IT服务
002422,医药生物,化学制药,化学制剂
002423,机械设备,通用机械,机械基础件
002424,医药生物,中药,中药
002425,传媒,互联网传媒,移动互联网服务
002426,机械设备,通用机械,机械基础件
002427,化工,化学纤维,涤纶
002428,有色金属,稀有金属,其他稀有小金属
002429,家用电器,视听器材,彩电
002430,机械设备,专用设备,其它专用机械
002431,建筑装饰,园林工程,园林工程
002432,医药生物,医疗器械,医疗器械
002433,医药生物,中药,中药
002434,汽车,汽车零部件,汽车零部件
002435,机械设备,专用设备,楼宇设备
002436,电子,元件,印制电路板
002437,医药生物,化学制药,化学制剂
002438,机械设备,通用机械,机械基础件
002439,计算机,计算机应用,软件开发
002440,化工,化学制品,纺织化学用品
002441,电气设备,高低压设备,低压设备
002442,化工,橡胶,炭黑
002443,钢铁,钢铁,特钢
002444,机械设备,通用机械,其它通用机械
002445,传媒,文化传媒,影视动漫
002446,通信,通信设备,通信传输设备
002447,农林牧渔,渔业,水产养殖
002448,汽车,汽车零部件,汽车零部件
002449,电子,光学光电子,LED
002450,化工,塑料,其他塑料制品
002451,电气设备,高低压设备,线缆部件及其他
002452,电气设备,高低压设备,高压设备
002453,化工,化学制品,其他化学制品
002454,汽车,汽车零部件,汽车零部件
002455,化工,化学制品,其他化学制品
002456,电子,光学光电子,光学元件
002457,建筑材料,其他建材,管材
002458,农林牧渔,畜禽养殖,畜禽养殖
